size,planner,makespan
4,HEFT,2031106.5795566454
4,HEFT,2024057.52859806
4,HEFT,2042216.2392572188
4,HEFT,2056198.0242979038
4,HEFT,2052391.444004059
4,HEFT,2020740.808011908
4,HEFT,2029061.9276663046
4,HEFT,2026154.6825262003
4,HEFT,2030243.718347197
4,HEFT,2030789.502186269
4,HEFT,2024222.7647474185
4,HEFT,2025213.8970498375
4,HEFT,2041494.508192589
4,HEFT,2038445.6676692385
4,HEFT,2044988.6341278253
4,HEFT,2042082.8347035414
4,HEFT,2022611.664460323
4,HEFT,2038940.853620247
4,HEFT,2036615.5314247448
4,HEFT,2024937.8900179937
4,HEFT,2033018.9282596388
4,HEFT,2028964.3759340981
4,HEFT,2062062.700196136
4,HEFT,2025206.449444857
4,HEFT,2026179.37851133
4,HEFT,2045093.0913932119
4,HEFT,2039839.5712206257
4,HEFT,2026764.240525516
4,HEFT,2025033.2791510518
4,HEFT,2048723.7961773768
4,HEFT,2018950.1690864519
4,HEFT,2017562.5583260003
4,HEFT,2041799.3268978759
4,HEFT,2036733.9978895131
4,HEFT,2022127.641468572
4,HEFT,2040365.8781315647
4,HEFT,2023146.0308915968
4,HEFT,2028218.649872911
4,HEFT,2039167.133800121
4,HEFT,2020220.4469251155
4,HEFT,2023202.295162967
4,HEFT,2036626.6762132125
4,HEFT,2022433.8483391963
4,HEFT,2024423.136761641
4,HEFT,2032805.5580379644
4,HEFT,2038021.1347628185
4,HEFT,2014710.077849309
4,HEFT,2022365.9912466416
4,HEFT,2030975.833939581
4,HEFT,2038316.0822750204
4,HEFT,2028745.7626740714
4,HEFT,2068186.129772197
4,HEFT,2037646.509448662
4,HEFT,2028772.7382362003
4,HEFT,2051558.6424511685
4,HEFT,2028526.2303592118
4,HEFT,2020466.375567722
4,HEFT,2015632.5753042886
4,HEFT,2071990.329324826
4,HEFT,2041812.0856892853
4,HEFT,2052380.72272432
4,HEFT,2045556.31639488
4,HEFT,2040543.2746241337
4,HEFT,2024084.3657726396
4,HEFT,2017985.8233668448
4,HEFT,2083712.6533538757
4,HEFT,2031324.9124226032
4,HEFT,2055995.0506494252
4,HEFT,2027913.554043362
4,HEFT,2036068.3412247829
4,HEFT,2035046.8471028246
4,HEFT,2032345.0013195341
4,HEFT,2040837.9318478624
4,HEFT,2040026.2216899868
4,HEFT,2020374.845625164
4,HEFT,2029586.9903759689
4,HEFT,2020089.89264827
4,HEFT,2045343.2461737043
4,HEFT,2059571.476539693
4,HEFT,2019793.71388282
4,HEFT,2016109.8254067875
4,HEFT,2035285.085335913
4,HEFT,2050387.4976581337
4,HEFT,2033110.3157918826
4,HEFT,2028190.9100912698
4,HEFT,2023207.05822311
4,HEFT,2033790.4647713955
4,HEFT,2029606.4903044526
4,HEFT,2034338.152271569
4,HEFT,2030377.1250768062
4,HEFT,2025892.4941613674
4,HEFT,2054561.4122710046
4,HEFT,2051170.292305196
4,HEFT,2034263.3741700328
4,HEFT,2025010.790833121
4,HEFT,2015173.806144967
4,HEFT,2032558.8201329315
4,HEFT,2041175.793819464
4,HEFT,2040175.031825924
4,HEFT,2029488.4332577782
8,HEFT,1049543.7417461143
8,HEFT,1065761.945402948
8,HEFT,1070534.4498605079
8,HEFT,1053123.721691191
8,HEFT,1035854.2765883538
8,HEFT,1042835.1436033165
8,HEFT,1041074.0818915763
8,HEFT,1051957.4648335741
8,HEFT,1041881.16950209
8,HEFT,1055853.4195450114
8,HEFT,1037093.658744395
8,HEFT,1047988.678668692
8,HEFT,1047065.2399823414
