size,planner,makespan,reactive,expected,mpn_snt,rect_snt
4,HEFT,19517154.48664594,19481995.89177269,19244565.031922005,272589.4547239356,237430.85985068604
4,HEFT,19470299.72467353,19461748.028506525,19244565.031922005,225734.69275152308,217182.99658451971
4,HEFT,19370138.192252286,19305025.7061362,19244565.031922005,125573.16033028065,60460.67421419546
4,HEFT,19469032.02009788,19469032.02009788,19244565.031922005,224466.98817587644,224466.98817587644
4,HEFT,19339100.704780806,19304996.692546494,19244565.031922005,94535.67285880074,60431.66062449291
4,HEFT,19461633.842165664,19434995.692115795,19244565.031922005,217068.81024365872,190430.66019378972
4,HEFT,19359052.130625207,19341671.20930338,19244565.031922005,114487.09870320186,97106.17738137394
4,HEFT,19375983.46986024,19344300.54912505,19244565.031922005,131418.43793823195,99735.51720304416
4,HEFT,19428284.496975277,19417896.63577873,19244565.031922005,183719.46505326775,173331.60385672376
4,HEFT,19472575.015505,19472409.171565767,19244565.031922005,228009.9835829921,227844.13964376226
4,HEFT,19355391.766764715,19355391.766764715,19244565.031922005,110826.7348427102,110826.7348427102
4,HEFT,19442583.08305738,19439556.51007614,19244565.031922005,198018.0511353761,194991.47815413398
4,HEFT,19435335.25335577,19415251.38752365,19244565.031922005,190770.22143376988,170686.355601646
4,HEFT,19458192.138853226,19444023.438973706,19244565.031922005,213627.106931217,199458.4070517011
4,HEFT,19408561.76444273,19383143.71977529,19244565.031922005,163996.7325207293,138578.68785328045
4,HEFT,19618463.5402273,19618463.5402273,19244565.031922005,373898.5083052963,373898.5083052963
4,HEFT,19455494.204605088,19448619.595872294,19244565.031922005,210929.17268308246,204054.56395029282
4,HEFT,19478836.56137881,19470959.75651155,19244565.031922005,234271.52945680547,226394.7245895453
4,HEFT,19455804.48492318,19419336.33129992,19244565.031922005,211239.45300117508,174771.2993779108
4,HEFT,19441397.418112297,19417793.268531714,19244565.031922005,196832.3861902915,173228.23660970852
4,HEFT,19454123.35419433,19400100.48349213,19244565.031922005,209558.3222723268,155535.45157012346
4,HEFT,19428328.5392452,19413798.498711456,19244565.031922005,183763.5073231943,169233.4667894505
4,HEFT,19382169.110973228,19380185.70738418,19244565.031922005,137604.07905122265,135620.67546217516
4,HEFT,19456356.449164674,19394639.907913096,19244565.031922005,211791.41724266857,150074.87599109113
4,HEFT,19479653.027154002,19474014.720618054,19244565.031922005,235087.99523199353,229449.68869604915
4,HEFT,19456563.67641744,19416173.181938954,19244565.031922005,211998.64449543503,171608.15001694858
4,HEFT,19500162.851073086,19500162.851073086,19244565.031922005,255597.81915107745,255597.81915107745
4,HEFT,19413432.66440729,19401356.267060533,19244565.031922005,168867.6324852854,156791.23513853175
4,HEFT,19529495.46292443,19529495.46292443,19244565.031922005,284930.4310024232,284930.4310024232
4,HEFT,19420686.715348653,19416622.24318353,19244565.031922005,176121.68342664835,172057.21126152575
4,HEFT,19422986.724058837,19418806.540993795,19244565.031922005,178421.69213682786,174241.50907178968
4,HEFT,19392803.12547352,19391323.82332028,19244565.031922005,148238.09355151278,146758.79139827564
4,HEFT,19422998.647324923,19402950.14665576,19244565.031922005,178433.61540291828,158385.11473375186
4,HEFT,19387859.951128546,19362497.55740134,19244565.031922005,143294.91920654106,117932.52547933535
4,HEFT,19427131.88639274,19410776.28612495,19244565.031922005,182566.85447073355,166211.2542029433
4,HEFT,19484858.55396332,19446136.291980933,19244565.031922005,240293.5220413133,201571.260058932
4,HEFT,19481736.27829118,19458454.40025656,19244565.031922005,237171.24636917558,213889.36833455414
4,HEFT,19385957.879340164,19361458.759045187,19244565.031922005,141392.84741815925,116893.72712318227
4,HEFT,19416072.235749204,19377265.91003032,19244565.031922005,171507.2038271986,132700.87810831144
4,HEFT,19427991.304741073,19427573.134373244,19244565.031922005,183426.27281906828,183008.10245123878
4,HEFT,19438437.41882777,19435214.363410626,19244565.031922005,193872.38690576327,190649.33148862052
4,HEFT,19452032.74158183,19447972.003253065,19244565.031922005,207467.709659826,203406.97133105996
4,HEFT,19304344.173003186,19264990.69475339,19244565.031922005,59779.14108118043,20425.66283138469
4,HEFT,19455688.25299331,19427789.97263291,19244565.031922005,211123.22107130665,183224.94071090594
4,HEFT,19422694.942768585,19406778.8021755,19244565.031922005,178129.91084657985,162213.77025349438
4,HEFT,19433056.734672084,19414422.09281713,19244565.031922005,188491.70275007933,169857.06089513007
4,HEFT,19366980.721181896,19350553.511186857,19244565.031922005,122415.68925989047,105988.47926485166
4,HEFT,19463387.839551814,19456607.16319952,19244565.031922005,218822.8076298125,212042.13127751282
4,HEFT,19395770.573927924,19387612.46620548,19244565.031922005,151205.54200591892,143047.4342834726
4,HEFT,19465644.235560786,19429951.58788867,19244565.031922005,221079.20363878086,185386.5559666641
4,HEFT,19424091.60502892,19420927.213210586,19244565.031922005,179526.57310691476,176362.18128857762
4,HEFT,19471290.661723524,19432856.672583267,19244565.031922005,226725.62980151922,188291.640661262
4,HEFT,19382381.43660515,19367121.961724747,19244565.031922005,137816.40468314665,122556.92980274186
4,HEFT,19432011.865003344,19432011.865003344,19244565.031922005,187446.83308133853,187446.83308133853
4,HEFT,19386668.003637586,19386668.003637586,19244565.031922005,142102.97171558067,142102.97171558067
4,HEFT,19461586.813196767,19453794.87933285,19244565.031922005,217021.781274762,209229.84741085023
4,HEFT,19400480.692416456,19361562.26733496,19244565.031922005,155915.66049445048,116997.23541295154
4,HEFT,19401220.343605787,19370990.29255625,19244565.031922005,156655.31168377775,126425.26063424721
4,HEFT,19379494.206074014,19371730.136485253,19244565.031922005,134929.1741520092,127165.1045632474
4,HEFT,19353157.46794953,19290828.237522885,19244565.031922005,108592.43602752313,46263.20560088009
4,HEFT,19399630.75554236,19363768.0229008,19244565.031922005,155065.72362035513,119202.99097879605
4,HEFT,19428722.24648877,19414632.33628904,19244565.031922005,184157.21456676352,170067.3043670319
4,HEFT,19347146.36482143,19331848.689183947,19244565.031922005,102581.33289942518,87283.65726193786
4,HEFT,19354506.749751396,19351886.442052886,19244565.031922005,109941.71782938763,107321.41013088076
4,HEFT,19417320.64041834,19415986.20910408,19244565.031922005,172755.6084963344,171421.17718207464
4,HEFT,19335315.645621564,19332544.1707645,19244565.031922005,90750.61369955912,87979.1388424933
4,HEFT,19441381.226950087,19439214.264308266,19244565.031922005,196816.19502808157,194649.23238626122
4,HEFT,19437403.378712952,19437403.378712952,19244565.031922005,192838.34679094702,192838.34679094702
4,HEFT,19417118.367453564,19415565.87063842,19244565.031922005,172553.33553155884,171000.83871641385
4,HEFT,19373661.88844945,19356700.023835383,19244565.031922005,129096.85652744399,112134.99191337824
4,HEFT,19487888.07979032,19477709.28006276,19244565.031922005,243323.0478683114,233144.24814075232
4,HEFT,19407104.42487624,19407104.42487624,19244565.031922005,162539.39295423403,162539.39295423403
4,HEFT,19467104.04690214,19454005.859541167,19244565.031922005,222539.0149801336,209440.82761915773
4,HEFT,19398796.34024643,19378173.47393764,19244565.031922005,154231.3083244264,133608.4420156367
4,HEFT,19411616.254450813,19400383.978025414,19244565.031922005,167051.22252880782,155818.94610340893
4,HEFT,19371484.717717607,19337649.962386686,19244565.031922005,126919.68579559773,93084.93046467751
4,HEFT,19414367.034598537,19414367.034598537,19244565.031922005,169802.00267653167,169802.00267653167
4,HEFT,19489760.629273973,19489760.629273973,19244565.031922005,245195.59735197198,245195.59735197198
4,HEFT,19467006.24958943,19459258.998116672,19244565.031922005,222441.2176674232,214693.96619466686
4,HEFT,19438292.68579844,19400185.34543976,19244565.031922005,193727.653876435,155620.31351775303
4,HEFT,19401927.921354026,19401927.921354026,19244565.031922005,157362.88943202046,157362.88943202046
4,HEFT,19401624.55567029,19399062.74561792,19244565.031922005,157059.5237482898,154497.71369591728
4,HEFT,19335711.54670861,19282064.340057977,19244565.031922005,91146.5147866048,37499.308135971434
4,HEFT,19510618.120643746,19507855.363446344,19244565.031922005,266053.0887217373,263290.3315243386
4,HEFT,19407588.395404484,19407588.395404484,19244565.031922005,163023.363482479,163023.363482479
