size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
256,GA-50,290336.1278816365,289890.80994709005,287580.20669967216,2755.921181964397,2310.6032474178933,<built-in function time>
256,GA-50,244166.98916777808,239611.67192319353,238448.3347692052,5718.65439857295,1163.3371539882792,<built-in function time>
256,GA-50,256958.5631982723,253617.73332683122,244479.36824162622,12479.194956646095,9138.365085204976,<built-in function time>
256,GA-50,281013.27421289514,278307.6576082858,279146.9507069313,1866.323505963723,-839.2930986455757,<built-in function time>
256,GA-50,308487.9549998369,308487.9549998369,301620.7637980425,6867.191201794369,6867.191201794369,<built-in function time>
256,GA-50,315928.43031736265,315928.43031736265,309390.8521884797,6537.578128882975,6537.578128882975,<built-in function time>
256,GA-50,300110.5438364973,300110.5438364973,297038.47308022913,3072.070756268164,3072.070756268164,<built-in function time>
256,GA-50,248044.44588065,240386.56946582068,248044.44588065,0.0,-7657.87641482937,<built-in function time>
256,GA-50,342903.7757303357,342903.7757303357,331713.2427047211,11190.533025614626,11190.533025614626,<built-in function time>
256,GA-50,344592.03516117646,344010.9457599923,337801.253680381,6790.781480795528,6209.692079611239,<built-in function time>
256,GA-50,243287.69828846602,243287.69828846602,227284.87585436768,16002.822434098312,16002.822434098312,<built-in function time>
256,GA-50,285843.310575227,285843.310575227,273782.65816766804,12060.652407559042,12060.652407559042,<built-in function time>
256,GA-50,283261.62434564467,278440.15325453004,270427.7936116239,12833.830734020798,8012.359642906173,<built-in function time>
256,GA-50,250054.9485608707,250054.9485608707,240418.0088565693,9636.939704301418,9636.939704301418,<built-in function time>
256,GA-50,218658.0138979105,218658.0138979105,215099.4211542189,3558.59274369161,3558.59274369161,<built-in function time>
256,GA-50,295880.7177202346,292601.15103301103,284253.07070022833,11627.64702000626,8348.080332782702,<built-in function time>
256,GA-50,315068.69413970114,309004.0366287824,305495.7925589425,9572.901580758626,3508.244069839886,<built-in function time>
256,GA-50,355050.82813623827,355050.82813623827,343212.71583483217,11838.112301406101,11838.112301406101,<built-in function time>
256,GA-50,351681.8108169025,347772.4380272914,351672.52764451585,9.283172386640217,-3900.089617224469,<built-in function time>
256,GA-50,336428.51885519037,331942.8225958433,327837.6573627437,8590.861492446682,4105.165233099542,<built-in function time>
256,GA-50,235484.37749529735,235137.8826040066,229718.91816976183,5765.459325535543,5418.964434244757,<built-in function time>
256,GA-50,345650.50691476284,345650.50691476284,313263.1349884518,32387.37192631105,32387.37192631105,<built-in function time>
256,GA-50,288393.1033670401,277907.7502796043,287864.9479788927,528.1553881473957,-9957.19769928843,<built-in function time>
256,GA-50,292257.5741135445,281662.9209777825,287467.8217131369,4789.752400407684,-5804.900735354399,<built-in function time>
256,GA-50,363083.2823294196,357019.875952949,354479.5321288797,8603.750200539887,2540.3438240692485,<built-in function time>
256,GA-50,273220.4298299584,266804.7775903484,264759.2543619355,8461.175468022877,2045.5232284129013,<built-in function time>
256,GA-50,298624.0255016636,286709.3254502887,295123.5437616687,3500.481739994895,-8414.218311379955,<built-in function time>
256,GA-50,288679.67999126087,288679.67999126087,284582.45544167625,4097.224549584615,4097.224549584615,<built-in function time>
256,GA-50,273208.7397072895,273208.7397072895,267499.43435078714,5709.305356502358,5709.305356502358,<built-in function time>
256,GA-50,359967.86004708795,359967.86004708795,337541.9462027561,22425.913844331924,22425.913844331924,<built-in function time>
256,GA-50,267738.6310466922,267738.6310466922,253417.22310620808,14321.40794048406,14321.40794048406,<built-in function time>
256,GA-50,280860.3982884512,272236.0233677681,280860.3982884512,0.0,-8624.374920683098,<built-in function time>
256,GA-50,345526.02628310374,345526.02628310374,327216.0728672402,18309.953415863565,18309.953415863565,<built-in function time>
256,GA-50,269232.54115365865,269232.54115365865,260895.07852404343,8337.462629615184,8337.462629615184,<built-in function time>
256,GA-50,297906.8603666,285776.42774033174,297906.8603666,0.0,-12130.432626268303,<built-in function time>
256,GA-50,248301.3507937273,248301.3507937273,239364.419543488,8936.931250239344,8936.931250239344,<built-in function time>
256,GA-50,312756.8569313574,310151.7839877161,307092.5248463541,5664.3320850032605,3059.259141361981,<built-in function time>
256,GA-50,292959.6547179983,284977.5633187089,292959.6547179983,0.0,-7982.0913992893775,<built-in function time>
256,GA-50,301338.4313816936,301338.4313816936,294633.5274130509,6704.90396864264,6704.90396864264,<built-in function time>
256,GA-50,243709.35927348968,234388.1954300166,243709.35927348968,0.0,-9321.16384347307,<built-in function time>
256,GA-50,299194.6468334836,296285.4639454292,297348.7508135935,1845.896019890089,-1063.2868681643158,<built-in function time>
256,GA-50,390533.13613715797,386025.9356200016,390533.13613715797,0.0,-4507.200517156394,<built-in function time>
256,GA-50,249353.29587887428,247550.72163870523,249353.29587887428,0.0,-1802.5742401690804,<built-in function time>
256,GA-50,284809.51243956794,275074.3842962884,279067.63461887045,5741.877820697498,-3993.2503225820838,<built-in function time>
256,GA-50,313341.1440300409,306352.2844546049,301297.66421630705,12043.479813733897,5054.620238297852,<built-in function time>
256,GA-50,305641.009688751,302569.6740599825,287375.75167217787,18265.25801657315,15193.922387804661,<built-in function time>
256,GA-50,311618.3246040055,306129.5690372238,300509.87327523646,11108.451328769035,5619.695761987357,<built-in function time>
256,GA-50,389635.1919410148,389635.1919410148,386567.4005800647,3067.791360950097,3067.791360950097,<built-in function time>
256,GA-50,269335.39641904127,267719.94788978423,260902.77047921048,8432.625939830876,6817.177410573785,<built-in function time>
256,GA-50,304333.98068847193,297851.63185355073,291746.0290101559,12587.95167831599,6105.602843394794,<built-in function time>
256,GA-50,315156.81321806123,315156.81321806123,304483.4003855693,10673.412832491917,10673.412832491917,<built-in function time>
256,GA-50,315593.9074149232,313733.9326988684,303969.56877049233,11624.338644430798,9764.363928376057,<built-in function time>
256,GA-50,284167.43499692896,281200.81916092173,279006.87332965486,5160.5616672740425,2193.945831266756,<built-in function time>
256,GA-50,316417.7020843827,313108.10359059466,316417.7020843827,0.0,-3309.598493788042,<built-in function time>
256,GA-50,255892.84736587774,255892.84736587774,249779.2836441341,6113.563721743702,6113.563721743702,<built-in function time>
256,GA-50,324226.71738869336,317268.75255730486,321628.84487753554,2597.872511157824,-4360.092320230673,<built-in function time>
256,GA-50,283609.1850996309,273439.46464317624,276101.88489432423,7507.300205306732,-2662.420251147938,<built-in function time>
256,GA-50,311199.09875823924,311199.09875823924,304865.41474096966,6333.684017269466,6333.684017269466,<built-in function time>
256,GA-50,299077.6950919709,298044.6171865954,293544.91088198154,5532.784209989361,4499.70630461385,<built-in function time>
256,GA-50,356299.3882105277,356238.69608568883,347062.08315827936,9237.305052248295,9176.612927409411,<built-in function time>
256,GA-50,319723.66537383647,313777.4415679085,315493.6849972041,4229.98037663236,-1716.2434292956025,<built-in function time>
256,GA-50,296107.6055799989,293286.2645836036,296107.6055799989,0.0,-2821.340996395331,<built-in function time>
256,GA-50,253069.21316159636,251299.32653101344,253069.21316159636,0.0,-1769.8866305829142,<built-in function time>
256,GA-50,326472.71524742444,326472.71524742444,318315.83271605754,8156.882531366835,8156.882531366835,<built-in function time>
256,GA-50,317529.62412028835,317529.62412028835,300548.17469047965,16981.44942980871,16981.44942980871,<built-in function time>
256,GA-50,282911.2603871644,279036.28624808165,278025.53977574076,4885.720611423603,1010.7464723408341,<built-in function time>
256,GA-50,291927.63450796163,291927.63450796163,291314.0062348045,613.6282731571117,613.6282731571117,<built-in function time>
256,GA-50,288317.7000003793,284837.7166735432,284945.49299101275,3372.2070093665975,-107.77631746954285,<built-in function time>
256,GA-50,343305.9708766197,340646.7222180634,343305.9708766197,0.0,-2659.2486585563165,<built-in function time>
256,GA-50,376802.10026487976,369105.8870353037,365417.49198726454,11384.608277615276,3688.3950480391504,<built-in function time>
256,GA-50,254428.7692803731,254428.7692803731,247022.26693037,7406.50235000308,7406.50235000308,<built-in function time>
256,GA-50,307315.2574749873,305968.9235240582,301859.25032734877,5456.0071476384755,4109.673196709366,<built-in function time>
256,GA-50,258630.46979172225,258630.46979172225,250567.4798740502,8062.9899176720655,8062.9899176720655,<built-in function time>
256,GA-50,340524.50424049876,335098.0052288592,329243.87520181324,11280.629038685584,5854.1300270459615,<built-in function time>
256,GA-50,403370.8452757641,397666.6170879642,403370.8452757641,0.0,-5704.228187799978,<built-in function time>
256,GA-50,297207.0093694156,295571.9023044295,293635.6288140444,3571.380555371172,1936.2734903850946,<built-in function time>
256,GA-50,257065.47077708592,246798.90062333288,253634.65107667656,3430.8197004093963,-6835.750453343644,<built-in function time>
