size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,GA-50,9094755.210423307,9094755.210423307,6287168.93721572,2807586.2732075867,2807586.2732075867,0.22594594955444336
4,GA-50,8409454.160112891,8409454.160112891,5961363.174959052,2448090.985153839,2448090.985153839,0.31694388389587397
4,GA-50,9177362.659728736,9177362.659728736,6513436.654248783,2663926.0054799514,2663926.0054799514,0.7776691913604736
4,GA-50,9110870.194268877,9110870.194268877,6474440.261659591,2636429.932609284,2636429.932609284,0.22087478637695312
4,GA-50,8553655.08025925,8553655.08025925,6163253.0944224335,2390401.985836817,2390401.985836817,0.2190990447998047
4,GA-50,8669605.41467603,8669605.41467603,6327576.599361718,2342028.8153143125,2342028.8153143125,0.22439193725585926
4,GA-50,9366566.296723818,9366566.296723818,6746079.41138711,2620486.8853367083,2620486.8853367083,0.9260132312774658
4,GA-50,7776351.306674123,7776351.306674123,5467480.4632385615,2308870.8434355604,2308870.8434355604,0.8481550216674805
4,GA-50,9108212.440924963,9108212.440924963,6618844.302425048,2489368.1384999137,2489368.1384999137,0.2334599494934082
4,GA-50,9897520.269853355,9897520.269853355,6756666.092893142,3140854.1769602117,3140854.1769602117,0.8823740482330322
4,GA-50,8605350.380148284,8605350.380148284,6192698.0792897735,2412652.300858511,2412652.300858511,0.30812907218933105
4,GA-50,9235928.365866404,9235928.365866404,6634472.029106828,2601456.3367595747,2601456.3367595747,0.2256159782409668
4,GA-50,8595890.650921885,8595890.650921885,6032190.336889492,2563700.314032393,2563700.314032393,0.5913951396942139
4,GA-50,9055440.735506656,9055440.735506656,6576921.192064852,2478519.5434418027,2478519.5434418027,0.308974027633667
4,GA-50,8999829.980311872,8999829.980311872,6468251.088335861,2531578.891976012,2531578.891976012,0.30808115005493164
4,GA-50,8847348.580312666,8847348.580312666,6444997.231668041,2402351.3486446245,2402351.3486446245,0.7164909839630127
4,GA-50,9289382.505387062,9289382.505387062,6526848.961517393,2762533.543869669,2762533.543869669,0.23099613189697266
4,GA-50,8385369.7931551775,8385369.7931551775,6023946.429704929,2361423.3634502487,2361423.3634502487,0.23087811470031736
4,GA-50,9821362.583790276,9821362.583790276,6881759.949090143,2939602.634700133,2939602.634700133,0.4762959480285645
4,GA-50,8511560.906443393,8511560.906443393,6073775.940921774,2437784.9655216187,2437784.9655216187,0.3913710117340088
4,GA-50,9070060.931076096,9070060.931076096,6362476.4705653535,2707584.460510741,2707584.460510741,0.6468739509582521
4,GA-50,8805632.085595554,8805632.085595554,6287332.441151367,2518299.644444188,2518299.644444188,0.8239641189575195
4,GA-50,8868267.266717974,8868267.266717974,6366166.703493229,2502100.563224745,2502100.563224745,0.3027777671813965
4,GA-50,9254088.974172663,9254088.974172663,6411400.185490312,2842688.788682352,2842688.788682352,0.3826661109924317
4,GA-50,9380533.562523624,9380533.562523624,6627401.05265401,2753132.5098696137,2753132.5098696137,0.6337380409240723
4,GA-50,9163904.095620748,9163904.095620748,6603872.227815025,2560031.8678057217,2560031.8678057217,0.2945852279663086
4,GA-50,9378579.551369302,9378579.551369302,6806103.183512534,2572476.367856768,2572476.367856768,0.21321916580200195
4,GA-50,9300464.178468416,9300464.178468416,6566621.718754784,2733842.459713633,2733842.459713633,0.2202963829040528
4,GA-50,7788193.998898634,7788193.998898634,5729234.903696378,2058959.095202256,2058959.095202256,0.3987550735473633
4,GA-50,9272853.325203516,9272853.325203516,6569384.814411425,2703468.5107920924,2703468.5107920924,0.3058507442474365
4,GA-50,8307727.571665538,8307727.571665538,5852291.004620883,2455436.567044654,2455436.567044654,0.31415390968322754
4,GA-50,8865876.945587149,8865876.945587149,6314378.897460031,2551498.0481271176,2551498.0481271176,0.22101521492004395
4,GA-50,8770594.207263809,8770594.207263809,6331501.54136361,2439092.6659001987,2439092.6659001987,0.400723934173584
4,GA-50,8185630.080048367,8185630.080048367,5869707.927733856,2315922.152314512,2315922.152314512,0.3044588565826416
4,GA-50,8739215.369099323,8739215.369099323,6154558.823367349,2584656.545731974,2584656.545731974,0.3224639892578125
4,GA-50,9201775.416569177,9201775.416569177,6463784.64926023,2737990.7673089467,2737990.7673089467,1.3237907886505127
4,GA-50,8083562.492724325,8083562.492724325,5641618.207848572,2441944.2848757524,2441944.2848757524,0.5015161037445068
4,GA-50,9033616.255297827,9033616.255297827,6426775.995457738,2606840.25984009,2606840.25984009,0.3073298931121826
4,GA-50,9398693.084817838,9398693.084817838,6464367.190929517,2934325.89388832,2934325.89388832,0.5888078212738037
4,GA-50,8018400.000063144,8018400.000063144,5773836.441986873,2244563.558076271,2244563.558076271,0.31613779067993164
4,GA-50,9121777.39129251,9121777.39129251,6541373.405918161,2580403.985374349,2580403.985374349,0.2270379066467285
4,GA-50,7356674.082385437,7356674.082385437,5359950.077171884,1996724.005213552,1996724.005213552,0.2201988697052002
4,GA-50,8481738.773567017,8481738.773567017,6141747.534509079,2339991.2390579386,2339991.2390579386,0.8621456623077393
4,GA-50,9092721.186088717,9092721.186088717,6404893.865210543,2687827.320878174,2687827.320878174,0.2237482070922852
4,GA-50,9111371.188432267,9111371.188432267,6374191.193824982,2737179.9946072856,2737179.9946072856,0.2347879409790039
4,GA-50,8963427.76884178,8963427.76884178,6406795.301318768,2556632.4675230114,2556632.4675230114,0.24875497817993164
4,GA-50,8392688.929174336,8392688.929174336,6063501.440979175,2329187.4881951604,2329187.4881951604,0.5864861011505127
4,GA-50,8488656.513076808,8488656.513076808,6256487.4668917935,2232169.046185014,2232169.046185014,0.3162047863006592
4,GA-50,9201978.923846593,9201978.923846593,6412291.9924233565,2789686.931423236,2789686.931423236,0.5918288230895996
4,GA-50,9702919.6859047,9702919.6859047,6750718.703806945,2952200.982097755,2952200.982097755,0.4914171695709229
4,GA-50,9483828.565805176,9483828.565805176,6500809.63324579,2983018.9325593864,2983018.9325593864,0.2247002124786377
4,GA-50,8522408.853149062,8522408.853149062,5987307.253436827,2535101.599712234,2535101.599712234,0.7310929298400879
4,GA-50,8644336.135680214,8644336.135680214,6332014.3064872185,2312321.829192994,2312321.829192994,0.3172008991241455
4,GA-50,8669285.184437793,8669285.184437793,6320433.17104124,2348852.0133965528,2348852.0133965528,0.5056340694427489
4,GA-50,9280428.241325643,9280428.241325643,6515902.036263673,2764526.2050619717,2764526.2050619717,0.4087581634521485
4,GA-50,7875970.13776395,7875970.13776395,5630097.514259242,2245872.6235047067,2245872.6235047067,0.3932747840881348
4,GA-50,9006485.49430722,9006485.49430722,6370970.870607028,2635514.6237001917,2635514.6237001917,0.31063175201416016
4,GA-50,9072443.219367264,9072443.219367264,6443464.920190537,2628978.2991767256,2628978.2991767256,1.4431586265563965
4,GA-50,9038845.152066464,9038845.152066464,6554123.375593924,2484721.776472541,2484721.776472541,0.3083620071411133
4,GA-50,8997293.945517253,8997293.945517253,6469648.899283457,2527645.046233797,2527645.046233797,0.7632248401641846
4,GA-50,9075947.451521182,9075947.451521182,6536332.0825689165,2539615.368952266,2539615.368952266,0.3178696632385254
4,GA-50,9263378.307303473,9263378.307303473,6672552.893681244,2590825.413622229,2590825.413622229,0.4852280616760254
4,GA-50,8831474.037497904,8831474.037497904,6284330.746951997,2547143.290545906,2547143.290545906,0.3149468898773193
4,GA-50,8753758.43918746,8753758.43918746,6300723.2394367475,2453035.1997507117,2453035.1997507117,0.4122581481933594
4,GA-50,7774054.022342789,7765339.318301,5681531.160996398,2092522.861346391,2083808.1573046015,0.5076737403869629
4,GA-50,9143029.008688198,9142821.63170996,6639346.678740048,2503682.3299481515,2503474.9529699143,0.3177440166473389
4,GA-50,9300784.855629528,9300784.855629528,6497589.0567024825,2803195.7989270454,2803195.7989270454,0.22492694854736328
4,GA-50,8449233.238822494,8449233.238822494,6078665.64845352,2370567.590368974,2370567.590368974,0.3124799728393555
4,GA-50,8483820.98194604,8483820.98194604,5919467.100880908,2564353.881065132,2564353.881065132,0.3996410369873047
4,GA-50,9277088.15442905,9277088.15442905,6648040.568569667,2629047.5858593844,2629047.5858593844,0.313715934753418
4,GA-50,8618730.73133461,8618730.73133461,6160050.136326398,2458680.5950082117,2458680.5950082117,0.3007912635803223
4,GA-50,7980608.299071905,7980608.299071905,5660349.433252582,2320258.8658193233,2320258.8658193233,0.6740279197692871
4,GA-50,8701385.257557414,8701385.257557414,6211538.122112413,2489847.1354450025,2489847.1354450025,0.4053120613098145
4,GA-50,8202484.652056814,8202484.652056814,5988585.660717097,2213898.991339717,2213898.991339717,0.22429203987121585
4,GA-50,8437084.17877056,8437084.17877056,6097221.504960755,2339862.673809806,2339862.673809806,0.7465751171112059
4,GA-50,9418880.947909277,9418880.947909277,6733886.348533755,2684994.59937552,2684994.59937552,0.30453920364379883
4,GA-50,9654634.541920492,9654634.541920492,6730672.363813415,2923962.1781070777,2923962.1781070777,1.038965940475464
4,GA-50,8632372.437747188,8632372.437747188,6007119.9239472,2625252.513799988,2625252.513799988,0.39893412590026855
4,GA-50,8826345.001386426,8826345.001386426,6118288.368203614,2708056.6331828125,2708056.6331828125,0.4034140110015869
4,GA-50,8926972.794108557,8926972.794108557,6258948.791264701,2668024.002843857,2668024.002843857,0.4809720516204834
4,GA-50,9217180.612771446,9217180.612771446,6431981.036899523,2785199.575871923,2785199.575871923,0.2274608612060547
4,GA-50,8012269.308566215,8012269.308566215,6014107.704831247,1998161.6037349682,1998161.6037349682,0.3888599872589111
4,GA-50,9187067.545212232,9187067.545212232,6507527.031262347,2679540.5139498883,2679540.5139498883,0.6854250431060791
4,GA-50,9370197.78795053,9370197.78795053,6647829.778171098,2722368.0097794337,2722368.0097794337,0.2309691905975341
4,GA-50,9432738.64049488,9432738.64049488,6790722.390454485,2642016.250040396,2642016.250040396,0.4062430858612061
4,GA-50,9201413.041499427,9201413.041499427,6420530.901121726,2780882.1403777003,2780882.1403777003,0.5837819576263428
