size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,GA-50,19426316.394784097,19391342.64437472,19200000.0,226316.39478409663,191342.64437472075,0.0958693027496338
4,GA-50,19418160.015240993,19418160.015240993,19200000.0,218160.01524099332,218160.01524099332,0.10062575340270996
4,GA-50,19301653.4279014,19282549.25631999,19200000.0,101653.42790140213,82549.25631998852,0.0943429470062256
4,GA-50,19297352.453574512,19294430.38410623,19200000.0,97352.45357451217,94430.38410623,0.10237622261047363
4,GA-50,19339912.038800552,19337115.53201851,19200000.0,139912.0388005525,137115.53201850876,0.09684610366821288
4,GA-50,19392823.66323795,19387453.44276056,19200000.0,192823.66323795173,187453.4427605569,0.09794998168945312
4,GA-50,19423721.454372667,19373963.507892247,19200000.0,223721.45437266305,173963.50789224732,0.09531712532043456
4,GA-50,19405596.762954313,19382369.470986746,19200000.0,205596.76295431328,182369.47098674625,0.09510397911071776
4,GA-50,19294627.545251094,19263234.229754265,19200000.0,94627.5452510938,63234.2297542654,0.09805893898010254
4,GA-50,19345382.13607078,19313862.4973,19200000.0,145382.13607078046,113862.497299999,0.1008448600769043
4,GA-50,19308996.239452153,19299702.402434025,19200000.0,108996.23945215344,99702.40243402496,0.09554028511047363
4,GA-50,19368005.449515186,19315114.651249826,19200000.0,168005.44951518252,115114.65124982224,0.09876513481140137
4,GA-50,19318443.64303919,19275152.12970437,19200000.0,118443.64303918928,75152.12970437111,0.09689998626708984
4,GA-50,19329689.29173388,19306991.834516946,19200000.0,129689.29173387961,106991.8345169425,0.09386324882507324
4,GA-50,19405916.65181668,19390294.674354795,19200000.0,205916.6518166773,190294.67435479534,0.09934306144714357
4,GA-50,19396193.210150853,19381109.380918924,19200000.0,196193.2101508528,181109.38091892374,0.09957504272460938
4,GA-50,19398413.440987967,19379087.246349245,19200000.0,198413.44098796693,179087.2463492453,0.0981597900390625
4,GA-50,19279802.079700254,19213469.20636595,19200000.0,79802.07970025763,13469.206365950406,0.094404935836792
4,GA-50,19321638.88255366,19292288.292378698,19200000.0,121638.88255365938,92288.29237870127,0.0940537452697754
4,GA-50,19382933.92039462,19382933.92039462,19200000.0,182933.9203946218,182933.9203946218,0.09551620483398438
4,GA-50,19445899.12400187,19434386.20882441,19200000.0,245899.1240018718,234386.20882441106,0.09845209121704103
4,GA-50,19425761.05148796,19404761.83344088,19200000.0,225761.05148795623,204761.83344088122,0.09392309188842772
4,GA-50,19294364.61180352,19291435.959724266,19200000.0,94364.61180351676,91435.95972426236,0.12870001792907715
4,GA-50,19442088.96943475,19416824.26344444,19200000.0,242088.9694347493,216824.26344443855,0.09502696990966797
4,GA-50,19372654.79720395,19308983.96342028,19200000.0,172654.79720395055,108983.9634202756,0.0960240364074707
