size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,GA-50,6451132.16607191,6159833.83364219,6382111.735182857,69020.43088905234,-222277.90154066772,0.685002326965332
4,GA-50,7305102.270760402,7290067.050778748,6934411.864593392,370690.4061670089,355655.18618535344,0.235137939453125
4,GA-50,6176550.3763865065,5563697.929552855,6117344.564052655,59205.81233385112,-553646.6344998004,1.0271990299224854
4,GA-50,6674059.94602626,6474032.715692713,6462423.412425347,211636.5336009143,11609.303267367184,0.6807911396026611
4,GA-50,6603567.889547473,6337472.395625744,6382561.96121553,221005.9283319423,-45089.565589785576,0.4114000797271729
4,GA-50,6620545.584425321,6428263.305520452,6438143.006529228,182402.57789609395,-9879.701008776203,0.40870308876037603
4,GA-50,6231195.251082863,6150853.723883867,6013762.22057741,217433.0305054523,137091.50330645684,0.2267439365386963
4,GA-50,6637109.904704437,6505430.697475867,6458760.412328837,178349.4923755983,46670.28514703084,0.2282450199127197
4,GA-50,6176165.456992804,5866726.675025738,5652280.51531779,523884.9416750138,214446.15970794766,0.22243571281433105
4,GA-50,6489196.379131236,6310647.8236860875,6396343.167445008,92853.21168622932,-85695.34375892021,0.2390921115875244
4,GA-50,6337985.055989759,5840762.468349542,6337985.055989759,0.0,-497222.58764021844,0.4205179214477539
4,GA-50,6347469.54238089,6296781.96097583,5974835.597889678,372633.94449121226,321946.3630861519,0.4931159019470215
4,GA-50,6310808.126072222,6221729.049215765,6120511.887313629,190296.23875859476,101217.16190213617,0.31261682510375977
4,GA-50,5501938.840016498,5354760.635989853,5372467.9871105,129470.852905998,-17707.351120647043,0.22236204147338867
4,GA-50,6451373.255530885,6358286.5008533085,6270228.005001652,181145.25052923246,88058.49585165549,0.6987929344177246
4,GA-50,6645314.4602391785,6607253.997790114,6333168.16869971,312146.2915394697,274085.8290904043,0.23026776313781736
4,GA-50,6352611.123950076,6291852.508944772,6306836.006916325,45775.11703375168,-14983.497971551491,0.4267590045928955
4,GA-50,7115741.075657332,7079472.77081861,6592814.192185019,522926.88347231323,486658.5786335906,0.6974868774414062
4,GA-50,6423480.052619132,6127922.698336341,6059757.376404868,363722.6762142629,68165.32193147112,0.5029609203338623
4,GA-50,6229967.879410785,5998845.795312688,6196358.324051881,33609.55535890348,-197512.52873919343,0.498136043548584
4,GA-50,6976986.648985791,6976986.648985791,6582265.6003998,394721.04858599143,394721.04858599143,0.4110019207000733
4,GA-50,6231565.056409403,6075132.288104895,6231565.056409403,0.0,-156432.76830450818,0.23300814628601074
4,GA-50,6638566.210173707,6122192.462511747,6579018.748540575,59547.46163313277,-456826.2860288275,0.23743486404418945
4,GA-50,6865910.221035045,6580902.168865165,6633939.017865285,231971.20316975933,-53036.849000120535,0.5906178951263428
4,GA-50,6201636.170799398,6015765.068889635,6140972.787584755,60663.383214643225,-125207.71869511994,0.6647908687591553
4,GA-50,6728237.571848346,6652885.735342993,6305364.769740932,422872.8021074152,347520.9656020636,0.4842751026153565
4,GA-50,6419233.946025044,5723143.253190416,6419233.946025044,0.0,-696090.6928346278,0.8672399520874023
4,GA-50,7051488.643066398,6790001.862719884,6639606.190757704,411882.4523086939,150395.67196218015,0.497187852859497
4,GA-50,6834071.564978693,6746998.011300175,6387776.964789638,446294.6001890535,359221.04651053617,0.3191180229187012
4,GA-50,6831619.647038623,6831619.647038623,6486843.805962388,344775.8410762325,344775.8410762325,0.2301819324493408
4,GA-50,6010286.264763276,5901511.1000885,5770417.751699025,239868.51306425128,131093.34838947468,0.5076129436492921
4,GA-50,6134213.768000509,5813841.237888157,6025094.620384278,109119.1476162318,-211253.3824961195,0.4122838973999024
4,GA-50,5719294.579484105,5600862.976796948,5592718.20077806,126576.37870604545,8144.7760188886905,0.3111412525177002
4,GA-50,6836573.260137333,6618097.8152265465,6565104.585844189,271468.67429314274,52993.22938235663,0.2405891418457031
4,GA-50,6018246.317884453,5770991.377924409,5795407.786221123,222838.5316633284,-24416.408296715468,0.22470593452453613
4,GA-50,6819005.3530000085,6441502.5505175525,6510422.62614191,308582.72685809986,-68920.07562435791,1.2421188354492188
4,GA-50,6852090.333407163,6486400.4180437485,6658924.324657251,193166.00874991066,-172523.90661350172,0.3097908496856689
4,GA-50,6538051.421928941,6401109.899491491,6396319.536717702,141731.8852112405,4790.362773790024,0.35872006416320795
4,GA-50,6784580.2887290325,6721588.874223755,6440455.2382789785,344125.05045005213,281133.6359447753,0.3791599273681641
4,GA-50,6308018.604786688,6214532.969032467,6113755.8963046335,194262.708482055,100777.07272783293,0.5749528408050537
4,GA-50,6798883.570495113,6627765.131836777,6111236.326852758,687647.2436423525,516528.80498401634,0.2531397342681885
4,GA-50,7214582.585505842,7168735.737930685,6824836.604205984,389745.98129985953,343899.1337247016,0.5804340839385986
4,GA-50,6969150.407858322,6969150.407858322,6237500.662511776,731649.7453465463,731649.7453465463,0.34126734733581543
4,GA-50,6381035.430355738,5986593.075359044,6246504.842384604,134530.58797113318,-259911.7670255601,0.3537862300872803
4,GA-50,6714261.191105513,6652528.954702874,6462978.401218138,251282.7898873743,189550.553484736,0.3360261917114258
4,GA-50,6865024.780310652,6700550.70478676,6687992.705849477,177032.07446117606,12557.998937282713,0.2467463016510009
4,GA-50,6301052.498964368,6201166.960743322,5939403.395154481,361649.10380988853,261763.56558884212,0.24163579940795896
4,GA-50,6531856.232860708,6413739.367526323,6531460.2806271175,395.95223359111696,-117720.91310079489,0.4387128353118897
4,GA-50,6167566.760981658,5903118.8065678375,6008293.077287378,159273.68369428068,-105174.27071953936,0.2590000629425049
4,GA-50,6080402.142785175,5657017.8100368725,5846070.5227320725,234331.62005310226,-189052.71269520003,0.4637517929077149
4,GA-50,6882574.44759423,6798578.546118236,6744286.077837108,138288.36975712233,54292.468281128444,0.8365046977996826
4,GA-50,7000957.082889103,6869538.880242479,6718142.176897949,282814.90599115565,151396.70334453046,0.24823784828186035
4,GA-50,6817322.739525741,6660090.805950942,6809533.680709172,7789.058816567996,-149442.87475822962,0.9636731147766112
4,GA-50,6519232.559417742,6454526.084873337,6416213.769519382,103018.78989836108,38312.315353955135,1.0966882705688477
4,GA-50,6453886.070873744,6047944.621474653,6267921.970523894,185964.10034985,-219977.34904924218,0.7362639904022217
4,GA-50,6529789.623035981,6375405.95276277,6446473.694003687,83315.92903229315,-71067.74124091864,0.33013916015625
4,GA-50,6263152.198606958,5515154.747293684,6098387.600934465,164764.59767249227,-583232.8536407817,0.4346432685852051
4,GA-50,6834181.211539793,6834181.211539793,6356401.077008898,477780.1345308926,477780.1345308926,0.8167762756347656
4,GA-50,6535831.83101082,6369371.707853906,6296963.71950032,238868.1115105003,72407.98835358582,0.2456362247467041
4,GA-50,6606242.536568795,6479215.98257137,6025354.812038858,580887.724529936,453861.1705325106,0.7019572257995605
4,GA-50,6682255.386751328,5726288.617718318,6442652.8870858485,239602.4996654773,-716364.2693675319,0.4072051048278809
4,GA-50,6858930.838686577,6614930.898502632,6552813.319642899,306117.5190436793,62117.57885973435,0.4134349822998047
4,GA-50,7669058.6034653075,7579814.558270843,6818853.197009841,850205.4064554656,760961.3612610019,0.5129501819610596
4,GA-50,6636587.198109461,6451992.812283548,6314868.8452446535,321718.3528648065,137123.96703889314,0.2290482521057129
4,GA-50,6873950.491637577,6698205.174993681,6575544.224719005,298406.2669185735,122660.95027467607,0.3208651542663574
4,GA-50,6718888.561606695,6484508.155801055,6528846.893734338,190041.66787235718,-44338.73793328273,0.6905100345611572
4,GA-50,7030242.337909825,6868202.454101995,6544012.489256818,486229.84865300823,324189.9648451777,0.3236560821533203
4,GA-50,6979301.176311403,6976673.32522495,6556890.230254953,422410.9460564507,419783.0949699981,0.8783609867095947
4,GA-50,6234333.2850319175,5658639.594484063,6048647.144567825,185686.14046409357,-390007.55008376297,0.8657689094543457
4,GA-50,6827568.334146686,6800285.880418678,6564529.880933594,263038.45321309194,235755.99948508386,0.5796458721160889
4,GA-50,6562719.6000275565,6279001.037212977,6562719.6000275565,0.0,-283718.5628145793,0.3034930229187012
4,GA-50,6459487.616719003,6181139.799133556,6330533.131045931,128954.48567307182,-149393.33191237506,0.9623141288757324
4,GA-50,6358994.023724218,6271069.20759384,6242176.963467749,116817.06025646813,28892.24412609078,0.3970639705657959
4,GA-50,6207312.111396368,5986795.868267964,6180658.428938016,26653.682458351366,-193862.56067005266,0.3958029747009277
4,GA-50,6830992.9339707075,6801399.119521334,6608905.382988922,222087.5509817852,192493.73653241157,1.8117179870605469
4,GA-50,6828630.567711762,6805685.061322069,6597618.266378772,231012.30133298968,208066.79494329548,0.30444908142089844
4,GA-50,7064386.258022661,6924732.99579038,6386657.763806184,677728.4942164775,538075.2319841961,0.21822285652160645
4,GA-50,6252955.51338135,5702905.388330516,6154504.975304469,98450.53807688133,-451599.58697395213,0.9997119903564452
4,GA-50,6300608.530528803,6095350.822763076,5972176.384718675,328432.1458101291,123174.43804440089,0.21821284294128407
4,GA-50,6870478.387732151,6797635.294568492,6527692.724026645,342785.6637055055,269942.5705418475,0.6610879898071289
4,GA-50,6669685.57390783,6382132.466366579,6589980.718346507,79704.85556132253,-207848.25197992846,0.6401600837707521
4,GA-50,6717608.437356592,6377736.245205843,6346013.644063101,371594.793293491,31722.601142740812,0.22631001472473145
4,GA-50,7179442.685886765,6916717.745305412,6737335.183426738,442107.5024600271,179382.56187867463,0.31357789039611816
4,GA-50,7078687.053868055,7070818.818859017,6782259.253557048,296427.80031100754,288559.5653019706,0.22533297538757324
4,GA-50,6590207.421002565,6583052.656067369,6510520.797114615,79686.62388794962,72531.85895275325,0.3955059051513672
4,GA-50,6974973.239158813,6697420.121138321,6843410.474713897,131562.76444491558,-145990.3535755761,1.1938238143920898
4,GA-50,6825864.903092258,6812452.335812386,6353746.203583998,472118.69950826,458706.1322283885,0.3084440231323242
4,GA-50,6666522.708093062,6609571.50968916,6201158.322089794,465364.38600326795,408413.1875993656,0.22353625297546387
4,GA-50,6610465.8051498,6317526.898647863,6610465.8051498,0.0,-292938.9065019358,0.2173779010772705
4,GA-50,6916492.359264929,6829997.322850075,6478464.141573425,438028.21769150347,351533.18127664924,0.22257423400878906
4,GA-50,6682441.491435357,6376848.173217783,6440563.637921372,241877.8535139859,-63715.46470358968,0.4074020385742188
4,GA-50,6265494.4989572875,5974307.855916883,6209406.423574038,56088.07538324967,-235098.5676571559,0.3176262378692627
4,GA-50,7487738.552420057,7460069.880689628,6502154.1061558435,985584.4462642141,957915.774533785,1.0597078800201416
4,GA-50,6187294.234186221,5836706.520779341,5964409.09781621,222885.13637001067,-127702.57703686877,0.488070011138916
4,GA-50,7087869.060387746,6798930.288881673,6845433.265630667,242435.7947570793,-46502.976748995476,0.29686617851257324
4,GA-50,6374379.802726122,6267172.187069233,6217315.7581679,157064.04455822054,49856.42890133243,0.3089792728424072
4,GA-50,6962388.500677077,6763330.37542149,6478087.86696827,484300.6337088067,285242.5084532201,0.2262828350067139
4,GA-50,6340641.067822218,5702667.5817081,6290262.464338898,50378.603483319275,-587594.8826307979,0.6507730484008789
4,GA-50,6315553.644602583,6315553.644602583,6142047.890502323,173505.75410025846,173505.75410025846,0.2927711009979248
4,GA-50,6555593.493285897,6422986.632917609,6242884.133536845,312709.35974905174,180102.49938076362,0.20860600471496585
8,GA-50,3348801.289019306,3031067.8559455164,3259668.3246198026,89132.96439950353,-228600.4686742863,0.3671789169311523
8,GA-50,3277581.2614847994,3246662.8720581667,3277581.2614847994,0.0,-30918.389426632784,0.29335618019104004
8,GA-50,3872996.420996672,3612539.981991453,3703227.354111636,169769.06688503595,-90687.3721201825,0.3573901653289795
