size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,GA-50,7894995.940700398,7894995.940700398,6331925.715388577,1563070.2253118197,1563070.2253118197,0.6276898384094238
4,GA-50,7521622.006757513,7521622.006757513,6070431.907209889,1451190.0995476237,1451190.0995476237,0.4609920978546143
4,GA-50,8162495.40403552,8162495.40403552,6563414.831572448,1599080.5724630728,1599080.5724630728,0.4714457988739014
4,GA-50,7695483.561235156,7695483.561235156,5997903.460946607,1697580.1002885494,1697580.1002885494,0.2773308753967285
4,GA-50,8382895.527820385,8382895.527820385,6794604.956324415,1588290.5714959698,1588290.5714959698,0.20235514640808105
4,GA-50,7506078.191322138,7506078.191322138,6052409.117288341,1453669.0740337968,1453669.0740337968,0.4272189140319824
4,GA-50,8343116.57399316,8343116.57399316,6672944.861831362,1670171.7121617969,1670171.7121617969,0.5169129371643066
4,GA-50,8414487.812437162,8414487.812437162,6709158.324646412,1705329.4877907494,1705329.4877907494,0.6146619319915771
4,GA-50,7684046.654757131,7684046.654757131,6274812.5902141975,1409234.0645429334,1409234.0645429334,0.3609979152679443
4,GA-50,8091915.539770602,8091915.539770602,6366943.800033764,1724971.7397368385,1724971.7397368385,0.3603479862213135
4,GA-50,7985367.538170458,7985367.538170458,6253465.347577132,1731902.1905933246,1731902.1905933246,0.2022888660430908
4,GA-50,8096536.628737459,8096536.628737459,6497019.0142819835,1599517.6144554743,1599517.6144554743,0.2055151462554932
4,GA-50,7886483.8927240735,7886483.8927240735,6362425.90544095,1524057.9872831246,1524057.9872831246,0.27723336219787603
4,GA-50,8380908.175947509,8380908.175947509,6673816.715413791,1707091.4605337174,1707091.4605337174,0.5295720100402832
4,GA-50,8324894.0449301535,8324894.0449301535,6496507.25736621,1828386.7875639438,1828386.7875639438,0.28610777854919434
4,GA-50,7778375.622370134,7778375.622370134,6221375.3354556365,1557000.2869144985,1557000.2869144985,0.5182387828826904
4,GA-50,8003568.101478871,8003568.101478871,6529134.705611021,1474433.3958678497,1474433.3958678497,0.21483302116394049
4,GA-50,7438258.706674373,7438258.706674373,5981938.157478795,1456320.5491955774,1456320.5491955774,0.7383229732513428
4,GA-50,8140375.159228391,8140375.159228391,6476874.280228573,1663500.8789998181,1663500.8789998181,0.2086181640625
4,GA-50,7132251.533800428,7132251.533800428,5627654.336557318,1504597.1972431075,1504597.1972431075,0.21402597427368164
4,GA-50,7174893.272085332,7174893.272085332,5749628.170390733,1425265.101694601,1425265.101694601,0.20864105224609367
4,GA-50,7074414.414442357,7074414.414442357,5641087.5169557985,1433326.8974865573,1433326.8974865573,0.4573962688446045
4,GA-50,7892358.74470189,7892358.74470189,6346327.735369459,1546031.0093324315,1546031.0093324315,0.2933487892150879
4,GA-50,8412781.477672685,8412781.477672685,6723400.4613988325,1689381.0162738515,1689381.0162738515,0.29163289070129395
4,GA-50,8375215.745791458,8375215.745791458,6786753.579652358,1588462.166139101,1588462.166139101,0.7175920009613037
4,GA-50,7576818.442863164,7576818.442863164,6085148.202972667,1491670.2398904962,1491670.2398904962,0.3673298358917236
4,GA-50,8180430.474371086,8180430.474371086,6557434.738373643,1622995.735997444,1622995.735997444,0.6233558654785156
4,GA-50,7094665.050578092,7094665.050578092,5635256.976785282,1459408.0737928115,1459408.0737928115,0.2102510929107666
4,GA-50,8198661.174496448,8198661.174496448,6572747.849151987,1625913.325344461,1625913.325344461,0.20929574966430664
4,GA-50,7725976.633804035,7725976.633804035,6238797.286459786,1487179.3473442497,1487179.3473442497,0.21616101264953613
4,GA-50,7005132.9161853865,7005132.9161853865,5704959.741416745,1300173.1747686416,1300173.1747686416,0.20338678359985352
4,GA-50,7643868.0586177735,7643868.0586177735,6183370.540251142,1460497.5183666314,1460497.5183666314,0.4843227863311768
4,GA-50,8196265.059028886,8196265.059028886,6553046.753738078,1643218.3052908068,1643218.3052908068,0.2226121425628662
4,GA-50,7556143.17936402,7556143.17936402,6039019.511046503,1517123.6683175182,1517123.6683175182,0.6289660930633545
4,GA-50,8308231.639456344,8308231.639456344,6696907.475050527,1611324.164405818,1611324.164405818,0.2237417697906494
4,GA-50,7776200.882106313,7776200.882106313,6233818.385645908,1542382.496460403,1542382.496460403,0.4751389026641846
4,GA-50,8349720.744716237,8349720.744716237,6494667.672677248,1855053.0720389902,1855053.0720389902,0.2268462181091309
4,GA-50,7952400.750234247,7952400.750234247,6403879.917935099,1548520.8322991468,1548520.8322991468,0.75693678855896
4,GA-50,7659435.233183619,7659435.233183619,6110684.808042795,1548750.425140825,1548750.425140825,0.2142188549041748
4,GA-50,7368947.9829564765,7368947.9829564765,5866700.366979926,1502247.6159765506,1502247.6159765506,0.3841071128845215
4,GA-50,8319701.102541807,8319701.102541807,6639347.798875532,1680353.303666275,1680353.303666275,0.21456408500671387
4,GA-50,7305726.463246432,7305726.463246432,5840523.25019294,1465203.2130534928,1465203.2130534928,0.2136080265045166
4,GA-50,7456945.975177663,7456945.975177663,5922036.344164099,1534909.6310135657,1534909.6310135657,0.3932971954345703
4,GA-50,8106237.050046426,8106237.050046426,6483441.846926424,1622795.2031200025,1622795.2031200025,0.6741538047790527
4,GA-50,8059534.405218133,8059534.405218133,6324319.407176818,1735214.998041315,1735214.998041315,0.30431103706359863
4,GA-50,8010871.456837859,8010871.456837859,6472718.178882425,1538153.2779554343,1538153.2779554343,0.30019307136535645
4,GA-50,8062143.489924532,8062143.489924532,6440844.803727858,1621298.6861966746,1621298.6861966746,0.3809008598327637
4,GA-50,7478247.2250562925,7478247.2250562925,5940904.540152398,1537342.6849038948,1537342.6849038948,0.2976360321044922
4,GA-50,8005065.04618805,8005065.04618805,6382832.820417964,1622232.225770086,1622232.225770086,0.213411808013916
4,GA-50,8268147.639102608,8268147.639102608,6622325.216299042,1645822.4228035659,1645822.4228035659,0.2148079872131348
4,GA-50,8417153.792056298,8417153.792056298,6827514.525364199,1589639.2666920992,1589639.2666920992,0.6544549465179443
