size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,HEFT,2640217.574860253,2640217.574860253,2012662.536056654,627555.0388035988,627555.0388035988,0.01761484146118164
4,HEFT,2662581.9085114333,2662581.9085114333,2012662.536056654,649919.3724547789,649919.3724547789,0.013267040252685549
4,HEFT,2643318.26586718,2643318.26586718,2012662.536056654,630655.7298105261,630655.7298105261,0.01288604736328125
4,HEFT,2624072.8148095384,2624072.8148095384,2012662.536056654,611410.2787528844,611410.2787528844,0.014618158340454103
4,HEFT,2657233.2506721374,2657233.2506721374,2012662.536056654,644570.7146154833,644570.7146154833,0.012655973434448242
4,HEFT,2708925.290220169,2708925.290220169,2012662.536056654,696262.7541635153,696262.7541635153,0.01296687126159668
4,HEFT,2673909.7747023273,2673909.7747023273,2012662.536056654,661247.2386456733,661247.2386456733,0.012418985366821287
4,HEFT,2606355.966057665,2606355.966057665,2012662.536056654,593693.4300010111,593693.4300010111,0.013193845748901369
4,HEFT,2647485.3306232416,2647485.3306232416,2012662.536056654,634822.7945665875,634822.7945665875,0.01271986961364746
4,HEFT,2638986.4447078453,2638986.4447078453,2012662.536056654,626323.9086511913,626323.9086511913,0.013020753860473631
4,HEFT,2693187.6962704887,2693187.6962704887,2012662.536056654,680525.1602138346,680525.1602138346,0.01274704933166504
4,HEFT,2630137.849269276,2630137.849269276,2012662.536056654,617475.3132126221,617475.3132126221,0.013577938079833984
4,HEFT,2696353.2017348,2696353.2017348,2012662.536056654,683690.6656781458,683690.6656781458,0.012708902359008787
4,HEFT,2633923.2690118942,2633923.2690118942,2012662.536056654,621260.7329552402,621260.7329552402,0.013161897659301758
4,HEFT,2665576.1496912627,2665576.1496912627,2012662.536056654,652913.6136346087,652913.6136346087,0.01257014274597168
4,HEFT,2661658.2681672433,2661658.2681672433,2012662.536056654,648995.7321105888,648995.7321105888,0.01244807243347168
4,HEFT,2638336.7094016913,2638336.7094016913,2012662.536056654,625674.1733450373,625674.1733450373,0.012926816940307615
4,HEFT,2632052.47786357,2632052.47786357,2012662.536056654,619389.9418069161,619389.9418069161,0.013202905654907228
4,HEFT,2655178.38016916,2655178.38016916,2012662.536056654,642515.8441125057,642515.8441125057,0.01355290412902832
4,HEFT,2648854.509500129,2648854.509500129,2012662.536056654,636191.9734434751,636191.9734434751,0.03890681266784668
