size,planner,makespan,time
4,HEFT,75000.0,6.008148193359375e-05
4,HEFT,75000.0,3.194808959960937e-05
4,HEFT,75000.0,2.5033950805664066e-05
4,HEFT,75000.0,4.100799560546875e-05
4,HEFT,75000.0,3.695487976074219e-05
4,HEFT,75000.0,3.981590270996094e-05
4,HEFT,75000.0,4.124641418457031e-05
4,HEFT,75000.0,2.9802322387695312e-05
4,HEFT,75000.0,2.384185791015625e-05
4,HEFT,75000.0,2.384185791015625e-05
4,HEFT,75000.0,2.408027648925781e-05
4,HEFT,75000.0,4.00543212890625e-05
4,HEFT,75000.0,2.408027648925781e-05
4,HEFT,75000.0,8.20159912109375e-05
4,HEFT,75000.0,2.47955322265625e-05
4,HEFT,75000.0,2.288818359375e-05
4,HEFT,75000.0,2.7179718017578125e-05
4,HEFT,75000.0,2.5033950805664066e-05
4,HEFT,75000.0,3.886222839355469e-05
4,HEFT,75000.0,2.408027648925781e-05
4,HEFT,75000.0,2.408027648925781e-05
4,HEFT,75000.0,4.506111145019531e-05
4,HEFT,75000.0,4.696846008300781e-05
4,HEFT,75000.0,2.7894973754882812e-05
4,HEFT,75000.0,2.8848648071289062e-05
4,HEFT,75000.0,2.9087066650390625e-05
4,HEFT,75000.0,2.8848648071289062e-05
4,HEFT,75000.0,2.574920654296875e-05
4,HEFT,75000.0,2.694129943847656e-05
4,HEFT,75000.0,2.598762512207031e-05
4,HEFT,75000.0,2.8848648071289062e-05
4,HEFT,75000.0,2.694129943847656e-05
4,HEFT,75000.0,2.8133392333984368e-05
4,HEFT,75000.0,2.7179718017578125e-05
4,HEFT,75000.0,4.816055297851562e-05
4,HEFT,75000.0,5.125999450683594e-05
4,HEFT,75000.0,2.9802322387695312e-05
4,HEFT,75000.0,2.8133392333984368e-05
4,HEFT,75000.0,2.7179718017578125e-05
4,HEFT,75000.0,5.006790161132813e-05
4,HEFT,75000.0,2.47955322265625e-05
4,HEFT,75000.0,2.384185791015625e-05
4,HEFT,75000.0,4.696846008300781e-05
4,HEFT,75000.0,2.408027648925781e-05
4,HEFT,75000.0,2.47955322265625e-05
4,HEFT,75000.0,2.408027648925781e-05
4,HEFT,75000.0,2.7894973754882812e-05
4,HEFT,75000.0,2.694129943847656e-05
4,HEFT,75000.0,2.5272369384765625e-05
4,HEFT,75000.0,2.598762512207031e-05
4,HEFT,75000.0,2.6226043701171875e-05
4,HEFT,75000.0,2.5033950805664066e-05
4,HEFT,75000.0,4.911422729492188e-05
4,HEFT,75000.0,2.5033950805664066e-05
4,HEFT,75000.0,2.6226043701171875e-05
4,HEFT,75000.0,2.408027648925781e-05
4,HEFT,75000.0,3.194808959960937e-05
4,HEFT,75000.0,2.6226043701171875e-05
4,HEFT,75000.0,2.408027648925781e-05
4,HEFT,75000.0,3.504753112792969e-05
4,HEFT,75000.0,2.694129943847656e-05
4,HEFT,75000.0,4.363059997558594e-05
4,HEFT,75000.0,2.574920654296875e-05
4,HEFT,75000.0,4.1961669921875e-05
4,HEFT,75000.0,2.694129943847656e-05
4,HEFT,75000.0,7.486343383789062e-05
4,HEFT,75000.0,2.598762512207031e-05
4,HEFT,75000.0,3.2901763916015625e-05
4,HEFT,75000.0,2.7179718017578125e-05
4,HEFT,75000.0,2.598762512207031e-05
4,HEFT,75000.0,4.673004150390625e-05
4,HEFT,75000.0,2.574920654296875e-05
4,HEFT,75000.0,6.699562072753906e-05
4,HEFT,75000.0,2.694129943847656e-05
4,HEFT,75000.0,2.6702880859375e-05
4,HEFT,75000.0,2.7179718017578125e-05
4,HEFT,75000.0,3.910064697265625e-05
4,HEFT,75000.0,2.7894973754882812e-05
4,HEFT,75000.0,6.699562072753906e-05
4,HEFT,75000.0,2.9802322387695312e-05
4,HEFT,75000.0,3.194808959960937e-05
4,HEFT,75000.0,2.9802322387695312e-05
4,HEFT,75000.0,4.601478576660156e-05
4,HEFT,75000.0,3.194808959960937e-05
4,HEFT,75000.0,3.0994415283203125e-05
4,HEFT,75000.0,4.601478576660156e-05
4,HEFT,75000.0,4.410743713378906e-05
4,HEFT,75000.0,3.0040740966796875e-05
4,HEFT,75000.0,3.62396240234375e-05
4,HEFT,75000.0,8.082389831542969e-05
4,HEFT,75000.0,3.170967102050781e-05
4,HEFT,75000.0,3.314018249511719e-05
4,HEFT,75000.0,3.0994415283203125e-05
4,HEFT,75000.0,3.0994415283203125e-05
4,HEFT,75000.0,5.102157592773438e-05
4,HEFT,75000.0,4.482269287109375e-05
4,HEFT,75000.0,3.0994415283203125e-05
4,HEFT,75000.0,0.00012493133544921875
4,HEFT,75000.0,4.696846008300781e-05
4,HEFT,75000.0,5.364418029785156e-05
4,HEFT,75000.0,3.504753112792969e-05
