size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,L2FF,15002410.593996955,14675756.87752009,14792195.190600393,210215.4033965617,-116438.31308030336,0.002580881118774414
4,L2FF,15065407.027581714,14571192.785661122,14792195.190600393,273211.8369813226,-221002.40493927148,0.002640247344970703
4,L2FF,15286917.116692472,15149739.55643958,14792195.190600393,494721.9260920789,357544.36583918706,0.002622842788696289
4,L2FF,15067031.767794672,14739110.52808826,14792195.190600393,274836.57719427906,-53084.6625121329,0.002544164657592773
4,L2FF,15207287.17757514,14994187.771652153,14792195.190600393,415091.986974746,201992.58105175945,0.0024569034576416016
4,L2FF,15020229.293795794,14551377.815636398,14792195.190600393,228034.1031954009,-240817.37496399513,0.0026378631591796875
4,L2FF,15059341.549812105,14746788.016677782,14792195.190600393,267146.3592117112,-45407.17392261139,0.002739906311035156
4,L2FF,15117576.593907095,14578453.895069713,14792195.190600393,325381.40330670396,-213741.29553068054,0.002554893493652344
4,L2FF,15426788.81588224,15389891.233588064,14792195.190600393,634593.625281848,597696.0429876707,0.002315044403076172
4,L2FF,15200042.57277567,15180161.171232184,14792195.190600393,407847.3821752761,387965.9806317892,0.002568960189819336
4,L2FF,15352212.631385464,15247691.503025042,14792195.190600393,560017.4407850727,455496.3124246486,0.002579927444458008
4,L2FF,15368813.584745387,15095409.31593481,14792195.190600393,576618.3941449933,303214.12533441745,0.0025620460510253906
4,L2FF,15012205.53239351,14852092.485190434,14792195.190600393,220010.34179311612,59897.294590041034,0.002652168273925781
4,L2FF,15189732.350901395,14754517.87514629,14792195.190600393,397537.1603010036,-37677.31545410305,0.002418994903564453
4,L2FF,15274941.070589785,15221687.747810027,14792195.190600393,482745.8799893912,429492.5572096333,0.002640724182128907
4,L2FF,14906677.48159308,14662263.370440852,14792195.190600393,114482.29099268652,-129931.82015954144,0.0024199485778808594
4,L2FF,15326975.119124487,15267972.57251285,14792195.190600393,534779.9285240957,475777.3819124568,0.0025060176849365234
4,L2FF,15088756.168004574,14311847.357458318,14792195.190600393,296560.9774041809,-480347.8331420757,0.0024597644805908203
4,L2FF,15475436.521180425,15450604.299599482,14792195.190600393,683241.3305800296,658409.1089990884,0.002521038055419922
4,L2FF,15701857.517019512,15597370.391918475,14792195.190600393,909662.3264191188,805175.2013180833,0.022414684295654297
4,L2FF,14861767.51827118,14636824.787068482,14792195.190600393,69572.32767078653,-155370.40353191085,0.003214836120605469
4,L2FF,15492275.096077973,15450719.488800593,14792195.190600393,700079.9054775778,658524.2982001994,0.0032961368560791016
4,L2FF,14857029.366917213,14264497.385500604,14792195.190600393,64834.176316820085,-527697.8050997872,0.003108739852905273
4,L2FF,15416239.28520308,14434931.95525451,14792195.190600393,624044.0946026873,-357263.2353458833,0.002554893493652344
4,L2FF,15431875.41100881,15178758.630618202,14792195.190600393,639680.2204084173,386563.4400178082,0.002485990524291992
4,L2FF,15260282.584470775,14643903.60598594,14792195.190600393,468087.3938703816,-148291.58461445195,0.0024261474609375
4,L2FF,15002303.019012833,14645895.754341848,14792195.190600393,210107.8284124378,-146299.43625854515,0.003466129302978516
4,L2FF,15103086.935768267,14684622.851913255,14792195.190600393,310891.7451678757,-107572.33868713863,0.002497673034667969
4,L2FF,14811653.791276215,14021440.717604367,14792195.190600393,19458.600675821304,-770754.4729960263,0.0025069713592529297
4,L2FF,15200682.759432772,15140640.654366296,14792195.190600393,408487.56883237883,348445.46376590244,0.003262042999267578
4,L2FF,15633105.74530836,14985993.325055495,14792195.190600393,840910.5547079667,193798.13445510343,0.0031778812408447266
4,L2FF,15176468.36773931,15036737.647444615,14792195.190600393,384273.1771389172,244542.45684422372,0.002416849136352539
