size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,L2FF,14743394.496563733,14742700.920802955,14703133.137690986,40261.35887274705,39567.783111969016,0.002809762954711914
4,L2FF,14830857.77904779,14767085.335483793,14703133.137690986,127724.64135680535,63952.1977928076,0.002279043197631836
4,L2FF,14734930.816851582,14734930.816851582,14703133.137690986,31797.679160596803,31797.679160596803,0.002254724502563477
4,L2FF,14772155.25519568,14765045.21440627,14717170.090733992,54985.164461687214,47875.123672278605,0.002285003662109375
4,L2FF,14840296.053061245,14828461.212871807,14717170.090733992,123125.9623272512,111291.12213781662,0.002385854721069336
4,L2FF,6957065.044639119,6953209.65393559,6925388.796738513,31676.247900607064,27820.857197077945,0.002933025360107422
4,L2FF,14785758.051551444,14734935.162474275,14703133.137690986,82624.91386046074,31802.024783289064,0.002208709716796875
4,L2FF,6957348.937222198,6956381.444569658,6932000.405055868,25348.53216632828,24381.03951378725,0.002299070358276367
4,L2FF,14807806.85216047,14798302.319328833,14703133.137690986,104673.71446948498,95169.1816378478,0.00308990478515625
4,L2FF,14788035.718210185,14767308.965074185,14709156.102796553,78879.61541363223,58152.862277630724,0.002581119537353516
4,L2FF,14810183.09764156,14810183.09764156,14703133.137690986,107049.95995057373,107049.95995057373,0.0023391246795654297
4,L2FF,14836327.516451694,14824030.38473846,14709156.102796553,127171.41365514135,114874.28194190748,0.003001928329467773
4,L2FF,6967340.797686349,6938975.797701757,6928225.700592581,39115.09709376749,10750.09710917715,0.002274036407470703
4,L2FF,14791846.706492055,14758495.7002177,14703133.137690986,88713.56880106963,55362.56252671592,0.002397060394287109
4,L2FF,14748215.972413033,14732973.90660416,14703133.137690986,45082.83472204581,29840.768913175914,0.002259016036987305
4,L2FF,14798472.74813148,14766280.002578584,14703133.137690986,95339.61044049448,63146.86488759704,0.002341032028198242
4,L2FF,6959474.869228155,6956703.067155178,6928225.700592581,31249.16863557417,28477.366562595587,0.0026700496673583984
4,L2FF,14833419.942246504,14802053.518767672,14703133.137690986,130286.80455552043,98920.38107668607,0.0023238658905029297
4,L2FF,14741438.433060575,14740554.897607148,14703133.137690986,38305.2953695897,37421.75991616212,0.002358198165893555
4,L2FF,14777253.892168544,14734601.764871296,14703133.137690986,74120.75447756052,31468.627180311832,0.002390623092651367
4,L2FF,14811101.77215751,14811101.77215751,14709156.102796553,101945.66936095804,101945.66936095804,0.002205848693847656
4,L2FF,6945638.56442026,6945638.56442026,6928225.700592581,17412.863827678375,17412.863827678375,0.002591848373413086
4,L2FF,6972908.878941754,6970748.300551938,6928225.700592581,44683.1783491727,42522.59995935671,0.003083944320678711
4,L2FF,14770545.324772285,14750439.466131747,14709156.102796553,61389.221975732595,41283.363335195936,0.002499103546142578
4,L2FF,14809235.04700694,14781597.542785658,14703133.137690986,106101.90931595491,78464.40509467201,0.002418994903564453
4,L2FF,6992021.410019877,6980189.83057691,6928225.700592581,63795.70942729712,51964.129984328516,0.002321958541870117
4,L2FF,14799542.381158082,14798326.001046525,14709156.102796553,90386.27836152913,89169.89824997075,0.002422094345092773
4,L2FF,6970940.395312075,6966429.601547452,6925388.796738513,45551.59857356269,41040.80480893888,0.002387046813964844
4,L2FF,14801889.440148668,14769603.507049548,14709156.102796553,92733.33735211566,60447.404252994806,0.003083944320678711
4,L2FF,14763864.211421104,14763864.211421104,14703133.137690986,60731.07373011857,60731.07373011857,0.002420186996459961
4,L2FF,14812324.731049996,14781251.436389478,14717170.090733992,95154.64031600392,64081.34565548599,0.0024030208587646484
4,L2FF,14809813.738814002,14802231.30526928,14709156.102796553,100657.63601744734,93075.20247272588,0.0023779869079589844
4,L2FF,14780110.634837786,14736664.655306704,14703133.137690986,76977.49714680016,33531.51761572063,0.002356052398681641
4,L2FF,14818445.845821695,14791313.25654248,14709156.102796553,109289.7430251427,82157.15374592878,0.002308845520019531
4,L2FF,14827269.997169023,14825498.449371714,14717170.090733992,110099.90643502957,108328.35863772221,0.002852201461791992
4,L2FF,14787862.93649066,14787862.93649066,14703133.137690986,84729.7987996731,84729.7987996731,0.002241849899291992
4,L2FF,14836584.83468371,14832759.123689124,14703133.137690986,133451.6969927251,129625.98599813881,0.0027539730072021484
4,L2FF,14872536.48400912,14824379.095715046,14717170.090733992,155366.39327512868,107209.00498105401,0.0023322105407714844
4,L2FF,14828725.684265915,14820062.083610633,14703133.137690986,125592.5465749316,116928.94591964595,0.0025949478149414067
4,L2FF,1805650.627818836,1797044.6157097372,1789707.2171346706,15943.410684165545,7337.39857506659,0.002268075942993164
4,L2FF,6950886.911726331,6938808.862203445,6925388.796738513,25498.11498781946,13420.065464933403,0.002896308898925781
4,L2FF,14855537.79200472,14824503.27618588,14703133.137690986,152404.6543137338,121370.13849489392,0.002783298492431641
4,L2FF,14851061.865243444,14823466.12473575,14703133.137690986,147928.7275524605,120332.98704476467,0.002414226531982422
4,L2FF,14719564.20372554,14717762.954085045,14703133.137690986,16431.06603455544,14629.81639406085,0.002315044403076172
4,L2FF,7002051.690392374,7002051.690392374,6932000.405055868,70051.28533650469,70051.28533650469,0.0022339820861816406
4,L2FF,14925957.629609685,14925957.629609685,14723921.627273342,202036.00233634192,202036.00233634192,0.0028209686279296875
4,L2FF,6944393.627842747,6943851.9828781085,6925388.796738513,19004.83110423386,18463.186139596623,0.002310991287231445
4,L2FF,14869434.731824307,14863051.10855679,14723921.627273342,145513.104550967,139129.48128344867,0.002367973327636719
4,L2FF,14769328.277867256,14757668.904123805,14703133.137690986,66195.14017627017,54535.766432818025,0.0022978782653808594
4,L2FF,14789934.690134328,14743414.992389128,14703133.137690986,86801.55244334227,40281.85469814204,0.002511739730834961
4,L2FF,14874652.646944895,14859536.30008628,14709156.102796553,165496.54414834268,150380.19728972766,0.0022678375244140625
4,L2FF,818520.3004416281,818417.1984317381,813960.627464507,4559.672977121081,4456.570967231062,0.002814054489135742
4,L2FF,14721248.617061015,14693080.361970695,14703133.137690986,18115.479370031502,-10052.775720288975,0.002572059631347656
4,L2FF,14770668.660995647,14741800.895344948,14703133.137690986,67535.52330466174,38667.757653960965,0.002254724502563477
4,L2FF,14831715.258656975,14799567.048597293,14709156.102796553,122559.15586042216,90410.94580074027,0.002279996871948242
4,L2FF,14840131.337419687,14831639.450437035,14703133.137690986,136998.19972870126,128506.31274604985,0.003338098526000977
4,L2FF,7005773.908033006,6998613.251476715,6932000.405055868,73773.50297713652,66612.84642084595,0.0030100345611572266
4,L2FF,14733969.901869975,14707570.940078458,14703133.137690986,30836.764178991318,4437.802387472242,0.0028848648071289067
4,L2FF,14764857.78113038,14750229.634009626,14709156.102796553,55701.67833382823,41073.531213071205,0.002454996109008789
4,L2FF,14820524.21083355,14806340.616080634,14703133.137690986,117391.07314256392,103207.47838964874,0.0028221607208251953
4,L2FF,6933067.972255953,6911551.24010601,6925388.796738513,7679.175517439842,-13837.556632502005,0.0025501251220703125
4,L2FF,14792190.663160196,14791337.590224132,14703133.137690986,89057.52546921186,88204.45253314637,0.002467155456542969
4,L2FF,14848039.40794184,14834517.755493255,14703133.137690986,144906.27025085315,131384.61780226976,0.0037467479705810547
4,L2FF,14847808.309081215,14835267.987563953,14703133.137690986,144675.17139022984,132134.84987296726,0.002329826354980469
4,L2FF,14757071.229746465,14725676.055329647,14703133.137690986,53938.092055479065,22542.917638661344,0.002357006072998047
4,L2FF,14775839.891797893,14743303.838156907,14703133.137690986,72706.75410690717,40170.700465923175,0.0023050308227539067
4,L2FF,14803849.500925787,14778346.208744155,14709156.102796553,94693.39812923408,69190.10594760254,0.002860069274902344
4,L2FF,7002879.360319528,7000332.969844236,6932000.405055868,70878.9552636575,68332.56478836668,0.002279043197631836
4,L2FF,14783220.969217915,14771580.76015634,14717170.090733992,66050.87848392315,54410.6694223471,0.002888917922973633
4,L2FF,1804946.816726816,1804465.9611825675,1790440.3495913441,14506.467135471758,14025.611591223627,0.00222015380859375
4,L2FF,14873651.095472122,14870006.16211722,14709156.102796553,164494.9926755689,160850.0593206659,0.0022232532501220703
4,L2FF,14783736.549224945,14779034.95700539,14703133.137690986,80603.41153395735,75901.81931440532,0.002397060394287109
4,L2FF,14718346.694870202,14685643.764067395,14703133.137690986,15213.557179216295,-17489.373623590916,0.002239227294921875
4,L2FF,14880670.479405975,14863928.198654246,14709156.102796553,171514.37660942227,154772.09585769102,0.003818988800048828
4,L2FF,14827580.256448586,14818157.294937642,14709156.102796553,118424.15365203096,109001.1921410896,0.002965927124023437
4,L2FF,14717449.383620558,14643154.379074635,14703133.137690986,14316.245929572731,-59978.758616350584,0.002361059188842773
4,L2FF,6950965.404742418,6939715.277386903,6925388.796738513,25576.608003905043,14326.480648390017,0.0023479461669921875
4,L2FF,6950985.300888067,6911874.756396402,6925388.796738513,25596.504149556156,-13514.04034211114,0.0044748783111572266
4,L2FF,1808612.4033447132,1807810.092628355,1790440.3495913441,18172.053753369488,17369.74303701101,0.002426862716674805
4,L2FF,14837683.59465598,14833306.014649546,14709156.102796553,128527.49185942857,124149.91185299307,0.0022330284118652344
4,L2FF,14761477.768525045,14749990.05338991,14703133.137690986,58344.63083405793,46856.915698925026,0.002870082855224609
4,L2FF,14774452.163708596,14726027.050509386,14703133.137690986,71319.02601760997,22893.91281839833,0.0028569698333740234
4,L2FF,6928515.361377613,6880457.021585203,6925388.796738513,3126.564639100805,-44931.775153309114,0.002340078353881836
4,L2FF,14735102.654528733,14720107.336575195,14703133.137690986,31969.516837747768,16974.19888421148,0.002418994903564453
4,L2FF,14712821.943606675,14711655.396560313,14703133.137690986,9688.805915689096,8522.258869327605,0.002260923385620117
4,L2FF,14755446.1495552,14715339.69617523,14709156.102796553,46290.04675864615,6183.593378677964,0.003013134002685547
4,L2FF,14815649.359142492,14777323.540072713,14717170.090733992,98479.26840850152,60153.44933871925,0.002328157424926758
4,L2FF,14850967.142657485,14850967.142657485,14709156.102796553,141811.0398609303,141811.0398609303,0.002279758453369141
4,L2FF,14790606.439029826,14752451.759294018,14703133.137690986,87473.30133883841,49318.62160303258,0.002306222915649414
4,L2FF,14842504.079137726,14842491.936758012,14703133.137690986,139370.94144674018,139358.79906702787,0.002367973327636719
4,L2FF,1807216.7869785142,1807166.3210358173,1790440.3495913441,16776.437387170037,16725.971444473602,0.002197742462158203
4,L2FF,6991378.833330061,6985641.758736952,6925388.796738513,65990.0365915494,60252.96199844033,0.002783060073852539
4,L2FF,6999737.647358645,6994798.940159042,6932000.405055868,67737.24230277537,62798.53510317393,0.002180814743041992
4,L2FF,14904035.57752075,14899871.80704724,14709156.102796553,194879.47472419773,190715.70425068587,0.002332925796508789
4,L2FF,6946649.530636421,6919870.53708677,6925388.796738513,21260.73389790859,-5518.259651741944,0.0024750232696533203
4,L2FF,14756648.730508454,14686030.501090994,14703133.137690986,53515.59281746856,-17102.63659999147,0.002332925796508789
4,L2FF,14796637.404751798,14731958.948316645,14703133.137690986,93504.26706081256,28825.810625659302,0.0022809505462646484
4,L2FF,6950708.6224943865,6940696.891134405,6928225.700592581,22482.921901805326,12471.190541824326,0.002727031707763672
4,L2FF,14855179.538782066,14839745.386414595,14703133.137690986,152046.4010910783,136612.24872360934,0.0022020339965820312
4,L2FF,14766389.65279228,14762424.540730333,14709156.102796553,57233.549995727844,53268.43793377839,0.0023670196533203125
8,L2FF,7394283.262391435,7388818.320245582,7348195.144342688,46088.11804874707,40623.17590289284,0.003398895263671875
8,L2FF,7393812.380097108,7393812.380097108,7348195.144342688,45617.23575442005,45617.23575442005,0.0033850669860839844
8,L2FF,7443811.9526915215,7443811.9526915215,7351536.566587458,92275.38610406221,92275.38610406221,0.003257989883422852
8,L2FF,7439356.759725021,7413418.216254688,7355015.540493202,84341.21923181787,58402.67576148361,0.00410914421081543
8,L2FF,7407296.458298927,7404976.350959278,7348195.144342688,59101.31395623926,56781.206616588875,0.003259897232055664
8,L2FF,7397250.635837744,7393321.743631847,7345291.625440517,51959.01039722562,48030.11819132883,0.00326228141784668
8,L2FF,7376353.525850682,7351574.01538119,7345291.625440517,31061.900410162285,6282.389940671624,0.003374814987182617
8,L2FF,7401157.036409836,7387380.973608886,7351536.566587458,49620.469822376974,35844.4070214266,0.003242969512939453
8,L2FF,7398222.996720692,7393024.373195631,7348195.144342688,50027.85237800423,44829.22885294352,0.0032689571380615234
8,L2FF,7411467.849011064,7401092.408991997,7351536.566587458,59931.28242360522,49555.84240453784,0.0038268566131591797
8,L2FF,7383126.422695321,7375293.017764676,7355015.540493202,28110.882202117704,20277.47727147304,0.003582000732421875
8,L2FF,7430494.044758808,7416199.612382835,7348195.144342688,82298.90041611902,68004.46804014686,0.0033490657806396484
8,L2FF,3516342.222301815,3513483.319401654,3459738.8090843004,56603.413217514746,53744.51031735353,0.003284931182861328
8,L2FF,7393055.035898598,7370108.426165606,7348195.144342688,44859.891555909075,21913.281822917983,0.003239870071411133
8,L2FF,7363841.797050525,7338913.95574213,7348195.144342688,15646.652707836593,-9281.188600557856,0.0034012794494628906
