size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,L2FF,14874903.224839246,14867240.069376616,14769230.769230815,105672.45560842752,98009.30014579745,0.003146171569824219
4,L2FF,14932695.642282968,14896954.678972755,14769230.769230815,163464.87305215,127723.90974193998,0.002665996551513672
4,L2FF,6964946.035335298,6951986.176961632,6956521.739130443,8424.296204853803,-4535.562168810517,0.0026857852935791016
4,L2FF,14793250.868080087,14792224.26250616,14769230.769230815,24020.098849270493,22993.49327534251,0.002736330032348633
4,L2FF,6981184.499628479,6976289.47637314,6956521.739130443,24662.7604980357,19767.73724269681,0.002951860427856445
4,L2FF,14870859.857188875,14844582.261346828,14769230.769230815,101629.08795806019,75351.49211601168,0.003164768218994141
4,L2FF,14979959.59931136,14976980.508935215,14769230.769230815,210728.83008054268,207749.7397044003,0.002919197082519531
4,L2FF,1810689.2972495416,1808134.5243248625,1797752.8089887544,12936.488260787446,10381.715336107882,0.002671957015991211
4,L2FF,7043860.363127545,7039718.978363372,6956521.739130443,87338.62399710156,83197.23923292942,0.0027468204498291016
4,L2FF,14879163.037336122,14878503.106184825,14769230.769230815,109932.26810530572,109272.33695400694,0.0027618408203125
4,L2FF,14893086.581376862,14890474.347123856,14769230.769230815,123855.81214604527,121243.57789303735,0.002691030502319336
4,L2FF,7021977.430239698,7021977.430239698,6956521.739130443,65455.691109254025,65455.691109254025,0.003196239471435547
4,L2FF,14941168.280778995,14915117.608031547,14769230.769230815,171937.5115481801,145886.83880073205,0.0028150081634521484
4,L2FF,14877811.55527195,14874056.515367744,14769230.769230815,108580.7860411331,104825.74613692613,0.002894163131713867
4,L2FF,14923560.792762993,14920031.197014168,14769230.769230815,154330.02353217453,150800.42778335142,0.0026810169219970703
4,L2FF,14903695.44818211,14903695.44818211,14769230.769230815,134464.67895129323,134464.67895129323,0.002824306488037109
4,L2FF,7004028.168578824,7002621.906775448,6956521.739130443,47506.429448381066,46100.16764500458,0.003124237060546875
4,L2FF,6999635.0818912275,6980031.782292867,6956521.739130443,43113.34276078455,23510.04316242505,0.002691030502319336
4,L2FF,14911602.532202078,14905249.162293375,14769230.769230815,142371.76297126152,136018.39306255992,0.002811908721923828
4,L2FF,14798315.693258666,14787577.11522091,14769230.769230815,29084.92402784713,18346.34599009342,0.0027000904083251953
4,L2FF,14781204.66014088,14753272.003631448,14769230.769230815,11973.890910062939,-15958.765599370005,0.0027170181274414067
4,L2FF,14883356.005919773,14883356.005919773,14769230.769230815,114125.23668895474,114125.23668895474,0.0026929378509521484
4,L2FF,7051170.217674223,7042672.9966492485,6956521.739130443,94648.47854377887,86151.25751880556,0.003159046173095703
4,L2FF,14963320.413932774,14959013.726421425,14769230.769230815,194089.64470195962,189782.9571906086,0.0029480457305908203
4,L2FF,6983409.750941702,6951288.907312012,6956521.739130443,26888.011811259203,-5232.831818429753,0.002874851226806641
4,L2FF,6983950.355982467,6975349.123388488,6956521.739130443,27428.61685202271,18827.384258044884,0.0028281211853027344
4,L2FF,14867467.239680992,14856659.891763136,14769230.769230815,98236.47045017591,87429.12253231741,0.002939939498901367
4,L2FF,14880664.46065914,14868160.50934638,14769230.769230815,111433.69142832236,98929.74011556432,0.0029709339141845703
4,L2FF,14867991.317247314,14833113.804049715,14769230.769230815,98760.54801649787,63883.03481890075,0.0033850669860839844
4,L2FF,14822786.92341804,14811117.17070561,14769230.769230815,53556.15418722294,41886.40147479437,0.003113985061645508
4,L2FF,14771345.57689751,14722113.03045328,14769230.769230815,2114.807666692883,-47117.738777535036,0.002782106399536133
4,L2FF,14917304.261006106,14899907.43130133,14769230.769230815,148073.49177528918,130676.66207051276,0.0029010772705078125
4,L2FF,14858507.941172885,14837235.750848878,14769230.769230815,89277.1719420664,68004.98161806166,0.003820180892944336
4,L2FF,14852296.465491485,14852296.465491485,14769230.769230815,83065.69626066834,83065.69626066834,0.003088951110839844
4,L2FF,1804983.8017023448,1804342.2454946027,1797752.8089887544,7230.992713590153,6589.436505848309,0.0036292076110839844
4,L2FF,14817762.386478607,14811097.72268352,14769230.769230815,48531.61724779196,41866.95345270448,0.0032019615173339844
4,L2FF,14794316.468496675,14791811.207573606,14769230.769230815,25085.69926586002,22580.438342787325,0.0035839080810546875
4,L2FF,6997833.539120972,6989104.833304835,6956521.739130443,41311.799990530126,32583.094174391586,0.004928112030029297
4,L2FF,14887583.252967013,14852903.3605356,14769230.769230815,118352.48373619467,83672.59130478464,0.004971027374267578
4,L2FF,14885018.407095252,14877035.190220734,14769230.769230815,115787.63786443695,107804.42098991759,0.005330085754394531
4,L2FF,6978159.591396018,6975368.125413498,6956521.739130443,21637.85226557497,18846.386283054017,0.008056163787841797
4,L2FF,14828605.349515907,14808445.97801672,14769230.769230815,59374.580285090946,39215.20878590457,0.008373737335205078
4,L2FF,14854179.41780731,14854179.41780731,14769230.769230815,84948.64857649429,84948.64857649429,0.00961017608642578
4,L2FF,6996386.523527044,6981157.576184729,6956521.739130443,39864.78439660091,24635.837054286152,0.00619196891784668
4,L2FF,14941503.548339564,14941182.007856658,14769230.769230815,172272.77910874784,171951.23862584124,0.004391908645629883
4,L2FF,14813591.073715895,14813401.683571907,14769230.769230815,44360.30448507704,44170.914341090254,0.004825115203857422
4,L2FF,6981913.309330794,6980748.011220782,6956521.739130443,25391.57020035107,24226.272090339102,0.00379180908203125
4,L2FF,6967053.458425521,6952813.597770905,6956521.739130443,10531.719295077957,-3708.14135953784,0.004855155944824219
4,L2FF,14849700.098987605,14838258.1490712,14769230.769230815,80469.32975678705,69027.3798403833,0.004653215408325195
4,L2FF,14891062.099013902,14891062.099013902,14769230.769230815,121831.32978308572,121831.32978308572,0.004120826721191406
4,L2FF,14837816.269138407,14837503.249039214,14769230.769230815,68585.49990759045,68272.47980839759,0.003972768783569336
4,L2FF,6993213.383740357,6981735.927377887,6956521.739130443,36691.644609915085,25214.188247444108,0.004835844039916992
4,L2FF,14872271.637654634,14868483.103656365,14769230.769230815,103040.86842381768,99252.33442554806,0.003801107406616211
4,L2FF,6996862.12238159,6981169.322589416,6956521.739130443,40340.38325114735,24647.58345897309,0.00403285026550293
4,L2FF,14851157.33229614,14799460.075181762,14769230.769230815,81926.56306532213,30229.305950945243,0.003945827484130859
4,L2FF,14807352.381417025,14797712.604457196,14769230.769230815,38121.612186206505,28481.835226377472,0.00398707389831543
