size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,L2FF,15348939.041836316,15348939.041836316,14748561.489556167,600377.5522801485,600377.5522801485,0.003165721893310547
4,L2FF,7012645.7445226675,6966170.446753628,6953965.212738193,58680.531784475774,12205.23401543498,0.00242304801940918
4,L2FF,15041086.138816787,14875528.21776457,14741057.724765135,300028.41405165195,134470.49299943447,0.0026068687438964844
4,L2FF,14863949.527712898,14541074.634255955,14741057.724765135,122891.80294776335,-199983.09050918,0.002447843551635742
4,L2FF,15153196.184511844,15142405.888735522,14748561.489556167,404634.6949556768,393844.3991793543,0.0024306774139404297
4,L2FF,14892038.533951946,14707851.89835136,14741057.724765135,150980.80918681066,-33205.82641377486,0.002437591552734375
4,L2FF,7087559.2345851725,7085320.0177327385,6943251.826882143,144307.40770303085,142068.1908505978,0.0029675960540771484
4,L2FF,15131883.845186984,15030408.554009758,14741057.724765135,390826.1204218492,289350.82924462296,0.002385377883911133
4,L2FF,15111025.935458867,15028933.541929573,14741057.724765135,369968.2106937319,287875.81716443604,0.00249934196472168
4,L2FF,14781925.416469036,14350789.536086515,14741057.724765135,40867.69170389883,-390268.1886786204,0.002632379531860352
4,L2FF,15022119.594726948,14995833.46731386,14741057.724765135,281061.8699618131,254775.74254872647,0.002498626708984375
4,L2FF,14894199.745169345,14739634.764098002,14741057.724765135,153142.02040420845,-1422.9606671351942,0.0033004283905029297
4,L2FF,14865499.925166318,14701827.834384868,14741057.724765135,124442.20040118322,-39229.890380267054,0.0024459362030029297
4,L2FF,6958696.187719097,6894862.074248837,6943251.826882143,15444.36083695572,-48389.752633304335,0.002521038055419922
4,L2FF,14853008.576028328,14769247.510471275,14748561.489556167,104447.08647216113,20686.0209151078,0.0024709701538085933
4,L2FF,1830942.5168670816,1814291.9623272668,1796113.134512421,34829.38235466089,18178.827814846067,0.002421855926513672
4,L2FF,14891580.544314358,14617856.825882122,14741057.724765135,150522.8195492234,-123200.89888301304,0.0024237632751464844
4,L2FF,14927269.771894913,14682220.14400721,14741057.724765135,186212.0471297782,-58837.58075792528,0.003057956695556641
4,L2FF,14779941.737193095,14147062.116318582,14741057.724765135,38884.01242795959,-593995.6084465532,0.002567768096923828
4,L2FF,6954468.916044012,6726352.012693595,6943251.826882143,11217.089161869138,-216899.81418854647,0.002555131912231445
4,L2FF,15182511.624837454,15178670.274210233,14741057.724765135,441453.90007232135,437612.5494450964,0.002423524856567383
4,L2FF,14943456.509647315,14679829.7451539,14748561.489556167,194895.0200911481,-68731.74440226704,0.002462863922119141
4,L2FF,7126775.960137318,7107626.464734217,6950176.911808935,176599.0483283829,157449.55292528216,0.002424955368041992
