size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,RANDOM,15592059.10552033,15592059.10552033,15526485.910781104,65573.19473922439,65573.19473922439,0.007355213165283203
4,RANDOM,14257832.685283288,14229700.501787676,14097302.410666915,160530.27461637187,132398.0911207609,0.0075550079345703125
4,RANDOM,14932925.522182334,14847186.202520028,14896588.55670704,36336.9654752966,-49402.35418701172,0.004355192184448242
4,RANDOM,16014265.1032856,15977666.961965084,15864236.520166712,150028.58311888948,113430.44179837404,0.007471323013305664
4,RANDOM,16037706.306661015,15999811.55890645,15972249.546930416,65456.75973059982,27562.011976033453,0.004522085189819336
4,RANDOM,15588010.118148655,15581989.344753107,15499724.596839832,88285.52130882256,82264.74791327678,0.005155086517333984
4,RANDOM,15408397.402026165,15403981.526054433,15318342.44505028,90054.95697588287,85639.08100415207,0.006443977355957031
4,RANDOM,14668193.783334073,14639933.121392392,14446783.93303676,221409.8502973132,193149.188355634,0.005674839019775391
4,RANDOM,14020198.909032386,14013866.867877385,13971840.350975405,48358.55805698037,42026.516901979216,0.0038099288940429688
4,RANDOM,13221972.58298722,13184671.240299392,13207096.793930413,14875.789056807756,-22425.553631018847,0.006148099899291992
4,RANDOM,15559977.57088629,15484523.127248155,15527926.195467476,32051.375418813903,-43403.06821932085,0.004636049270629883
4,RANDOM,16401280.072358524,16397076.306468835,16359200.1975544,42079.874804124236,37876.10891443491,0.007989883422851562
4,RANDOM,15532725.216755595,15511603.356002092,15461523.078886533,71202.13786906376,50080.27711556107,0.004585981369018555
4,RANDOM,15375916.29559515,15367311.692312265,15286870.59850736,89045.69708779082,80441.09380490519,0.006776809692382813
4,RANDOM,15097425.996203907,15078502.369576845,15046031.838589875,51394.15761403367,32470.530986970287,0.004649877548217773
4,RANDOM,16241199.080649227,16236885.20254016,16149186.842360042,92012.23828918488,87698.36018011719,0.006546974182128906
4,RANDOM,13394587.370807668,13360073.752234224,13343663.02395831,50924.34684935772,16410.728275913745,0.006904840469360352
4,RANDOM,15701243.718912736,15684847.955287892,15683968.845737612,17274.873175121844,879.1095502804965,0.007392644882202147
4,RANDOM,14627556.041869044,14614634.003455307,14531181.367786285,96374.67408275789,83452.63566902094,0.0070858001708984375
4,RANDOM,15189826.28026781,15184729.132904567,15000562.2165526,189264.06371521016,184166.9163519684,0.032956838607788086
