size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,RANDOM,20457920.28757081,20399861.57280081,20400000.0,57920.287570811815,-138.42719918861985,0.002434015274047852
4,RANDOM,20890926.88547709,20884616.476276394,20700000.0,190926.88547709206,184616.47627639398,0.002644062042236328
4,RANDOM,20533425.739039186,20520502.52867404,20325000.0,208425.73903918642,195502.52867403626,0.003679037094116211
4,RANDOM,19860324.129345264,19847206.76735518,19800000.0,60324.129345264286,47206.76735518128,0.0025250911712646484
4,RANDOM,19936472.720782254,19872340.844035227,19875000.0,61472.720782253884,-2659.1559647731483,0.002378225326538086
4,RANDOM,20961063.13689877,20931370.08562891,20775000.0,186063.13689877465,156370.08562891185,0.002915143966674805
4,RANDOM,20957748.22480713,20951853.15071627,20850000.0,107748.22480712832,101853.15071627124,0.00257110595703125
4,RANDOM,20398907.31088261,20361657.11781004,20250000.0,148907.3108826056,111657.11781003699,0.002777814865112305
4,RANDOM,20393608.67805882,20385828.761600006,20325000.0,68608.67805882171,60828.76160000638,0.0024390220642089844
4,RANDOM,19682488.95293032,19554664.593925904,19650000.0,32488.952930320054,-95335.40607409553,0.0023419857025146484
4,RANDOM,19844779.98361944,19774426.976260714,19800000.0,44779.98361943662,-25573.023739285767,0.002467632293701172
4,RANDOM,20360364.84791575,20313098.42174332,20250000.0,110364.84791575,63098.42174331844,0.002799034118652344
4,RANDOM,19678311.7729238,19620828.425623376,19575000.0,103311.7729238011,45828.425623375915,0.002398967742919922
4,RANDOM,19920793.626454405,19827291.70281485,19875000.0,45793.62645440549,-47708.297185149044,0.0037508010864257812
4,RANDOM,21041048.625612266,21017062.694808196,21000000.0,41048.62561226636,17062.694808192547,0.0025310516357421875
4,RANDOM,20477352.841069143,20453909.48491176,20250000.0,227352.8410691433,203909.48491175842,0.0029289722442626953
4,RANDOM,22006723.401427824,21975925.497795414,21825000.0,181723.40142782405,150925.4977954179,0.0023789405822753906
4,RANDOM,20990174.414154198,20947930.10440995,20850000.0,140174.41415420175,97930.10440995172,0.003159999847412109
4,RANDOM,20067523.08911327,19987967.881926134,20025000.0,42523.089113269,-37032.118073862046,0.002705097198486328
4,RANDOM,21294862.515697386,21283486.79322692,21075000.0,219862.5156973861,208486.79322692007,0.030597925186157227
4,RANDOM,20400970.845909398,20370373.43889691,20400000.0,970.8459094017744,-29626.561103090644,0.002865076065063477
4,RANDOM,20767888.41799009,20756583.970325973,20625000.0,142888.41799008846,131583.97032597288,0.0038619041442871094
4,RANDOM,19709032.06763052,19704457.582453374,19575000.0,134032.06763052195,129457.58245337383,0.0031280517578125
4,RANDOM,20956621.63768208,20956621.63768208,20700000.0,256621.63768207649,256621.63768207649,0.002895116806030273
4,RANDOM,20464158.968030512,20447604.7754542,20325000.0,139158.96803051233,122604.7754542008,0.002697944641113281
4,RANDOM,20185482.632663634,20166221.45360266,19950000.0,235482.6326636337,216221.45360266048,0.0023648738861083984
4,RANDOM,20484226.60712569,20430570.81653124,20400000.0,84226.60712568834,30570.81653123721,0.002346992492675781
4,RANDOM,20449247.80413481,20414343.27936574,20325000.0,124247.80413480848,89343.27936574072,0.002559900283813477
4,RANDOM,20571772.45954267,20492729.278860208,20400000.0,171772.45954266936,92729.27886020763,0.002443075180053711
4,RANDOM,20247696.940453246,20228552.598095827,20175000.0,72696.94045324624,53552.598095826805,0.004023075103759766
4,RANDOM,20421845.87160541,20412747.64690645,20250000.0,171845.8716054149,162747.6469064504,0.004086017608642578
4,RANDOM,19694242.018045805,19666519.621720448,19650000.0,44242.0180458054,16519.621720448136,0.002811908721923828
4,RANDOM,21177465.850186504,21169795.394426133,21150000.0,27465.850186504424,19795.39442613721,0.003067970275878907
4,RANDOM,20990834.48167441,20946641.59055735,20850000.0,140834.4816744104,96641.59055735172,0.00249481201171875
4,RANDOM,20871270.30930601,20863036.086588994,20700000.0,171270.3093060106,163036.08658899367,0.002310037612915039
4,RANDOM,21074510.110239584,21074510.110239584,20925000.0,149510.110239584,149510.110239584,0.003618001937866211
4,RANDOM,19994809.11752436,19922437.717094474,19950000.0,44809.11752435566,-27562.28290552646,0.002591133117675781
4,RANDOM,20315047.24847405,20299738.34311365,20175000.0,140047.24847405028,124738.34311364965,0.002593994140625
4,RANDOM,20018764.22843252,20000700.46009398,19950000.0,68764.22843252122,50700.46009397879,0.002462863922119141
4,RANDOM,20329379.03243822,20255945.858944293,20250000.0,79379.03243821861,5945.858944293112,0.00336909294128418
4,RANDOM,20267700.108188085,20260794.98499713,20175000.0,92700.10818808526,85794.98499713466,0.0023500919342041016
4,RANDOM,19746765.39505963,19710191.88584506,19575000.0,171765.39505963027,135191.88584506142,0.002553224563598633
4,RANDOM,20251193.743190374,20250655.824481256,20100000.0,151193.74319037795,150655.8244812563,0.002300024032592773
4,RANDOM,20426845.48714831,20370457.25818679,20325000.0,101845.48714831099,45457.258186791085,0.002825021743774414
4,RANDOM,20190924.815686226,20174995.661630727,20025000.0,165924.81568622214,149995.66163072735,0.0024302005767822266
4,RANDOM,20793464.01413798,20792606.72761896,20700000.0,93464.01413797961,92606.72761895882,0.002574920654296875
4,RANDOM,20131014.854339194,20084714.44948757,20100000.0,31014.854339193556,-15285.550512425601,0.002763032913208008
4,RANDOM,20637449.4637762,20637449.4637762,20400000.0,237449.4637761973,237449.4637761973,0.002640247344970703
4,RANDOM,20000174.248655397,19985462.242651552,19875000.0,125174.24865540116,110462.24265155195,0.002422809600830078
4,RANDOM,21536280.30242449,21536280.30242449,21450000.0,86280.30242449045,86280.30242449045,0.002385854721069336
4,RANDOM,19780252.51182183,19780252.51182183,19575000.0,205252.51182182878,205252.51182182878,0.0023751258850097656
4,RANDOM,20260280.181981023,20240057.80892659,20100000.0,160280.1819810234,140057.80892658982,0.002784967422485352
4,RANDOM,20288704.435695156,20267211.425548032,20175000.0,113704.43569515273,92211.42554803194,0.002478122711181641
4,RANDOM,20811437.946739614,20782859.591320746,20700000.0,111437.94673961401,82859.59132074566,0.00232696533203125
4,RANDOM,19933235.442620985,19911792.5305319,19875000.0,58235.44262098522,36792.53053189814,0.002797126770019531
4,RANDOM,21604104.712994967,21593919.717795,21525000.0,79104.71299496666,68919.71779499575,0.002894163131713867
4,RANDOM,20036207.133050706,19985948.15476068,20025000.0,11207.133050702512,-39051.845239318915,0.002442121505737305
4,RANDOM,21456596.98659592,21435669.776402146,21300000.0,156596.9865959175,135669.7764021419,0.002753019332885742
4,RANDOM,20938789.35811796,20930548.45027608,20775000.0,163789.3581179604,155548.4502760768,0.002725839614868164
4,RANDOM,19982691.41233808,19931075.492368493,19950000.0,32691.412338078022,-18924.507631503046,0.002627134323120117
4,RANDOM,20184493.593020454,20128566.103909485,20175000.0,9493.593020454051,-46433.89609051496,0.002454996109008789
4,RANDOM,20818470.359632898,20781125.339410752,20700000.0,118470.35963290186,81125.33941075206,0.002331018447875977
4,RANDOM,20730382.446758743,20717663.262028307,20700000.0,30382.446758743376,17663.262028306723,0.002379894256591797
4,RANDOM,21081808.499756,20927043.93255518,21000000.0,81808.49975600094,-72956.06744481996,0.002597808837890625
4,RANDOM,19824507.20401975,19809348.60406526,19725000.0,99507.2040197514,84348.60406526178,0.002440929412841797
4,RANDOM,21507880.13206934,21439932.64342902,21450000.0,57880.13206934184,-10067.356570981445,0.0023758411407470703
4,RANDOM,19885718.98638572,19885718.98638572,19725000.0,160718.98638571802,160718.98638571802,0.002541065216064453
4,RANDOM,20772687.341531627,20768568.04090971,20700000.0,72687.34153162688,68568.04090971129,0.002324104309082031
4,RANDOM,21354743.045950834,21349292.034371924,21300000.0,54743.04595083371,49292.034371923655,0.002584218978881836
4,RANDOM,20843844.48609045,20819761.62188024,20700000.0,143844.48609045148,119761.621880237,0.004166126251220703
4,RANDOM,20318171.43636009,20262282.19516517,20250000.0,68171.43636009097,12282.195165168494,0.003482818603515625
4,RANDOM,20126351.209400047,20085973.656429246,20100000.0,26351.209400046617,-14026.343570753934,0.002422094345092773
4,RANDOM,22148655.250783317,22140294.692099504,21900000.0,248655.2507833131,240294.69209950414,0.00236201286315918
4,RANDOM,20600616.828536488,20598668.20847834,20325000.0,275616.82853648806,273668.20847833896,0.0024399757385253906
4,RANDOM,20428341.799119208,20372640.10439743,20325000.0,103341.79911920801,47640.104397431016,0.0023932456970214844
4,RANDOM,19930511.742984466,19917909.04095733,19875000.0,55511.74298446253,42909.04095733538,0.004410982131958008
4,RANDOM,20968280.29886644,20958844.340753227,20925000.0,43280.298866435885,33844.34075322747,0.002940177917480469
4,RANDOM,21094736.686845426,21075766.401713114,20850000.0,244736.68684542552,225766.40171311426,0.003592967987060547
4,RANDOM,21443200.980485167,21443200.980485167,21225000.0,218200.98048516735,218200.98048516735,0.0023910999298095703
4,RANDOM,20528883.31284353,20505258.39665872,20325000.0,203883.31284353137,180258.3966587186,0.002741813659667969
4,RANDOM,20657822.696504805,20642173.380776014,20475000.0,182822.69650480524,167173.38077601418,0.002724885940551758
4,RANDOM,21391942.76463981,21356639.634455264,21225000.0,166942.76463980973,131639.6344552636,0.003196001052856445
4,RANDOM,22115446.002020787,22111094.774548374,21975000.0,140446.00202078745,136094.77454837784,0.003206014633178711
4,RANDOM,20374272.854541298,20314014.723015703,20325000.0,49272.85454130173,-10985.276984296741,0.003061056137084961
4,RANDOM,20475000.0,20415654.98462958,20475000.0,0.0,-59345.01537042111,0.002549886703491211
4,RANDOM,21169290.426236548,21155684.403951254,21075000.0,94290.42623654752,80684.40395125374,0.0029633045196533203
4,RANDOM,20715375.716008488,20692190.021508213,20550000.0,165375.71600848812,142190.02150821313,0.00230097770690918
4,RANDOM,19932188.66469924,19870732.84082222,19800000.0,132188.6646992378,70732.84082221985,0.002784967422485352
4,RANDOM,20672105.627104644,20660159.326940816,20475000.0,197105.6271046437,185159.3269408159,0.0023419857025146484
4,RANDOM,21977823.32490503,21909383.036534574,21900000.0,77823.32490503043,9383.036534577608,0.002929210662841797
4,RANDOM,20068294.489720996,19996713.571213607,19950000.0,118294.48972099276,46713.571213606745,0.002608060836791992
4,RANDOM,20175000.0,20137023.372995768,20175000.0,0.0,-37976.62700423226,0.002327680587768555
4,RANDOM,21540585.7916683,21527451.76742037,21375000.0,165585.79166829961,152451.76742037013,0.002458095550537109
4,RANDOM,20986815.67550578,20980451.34168789,20925000.0,61815.675505779676,55451.341687895365,0.002479076385498047
4,RANDOM,20290369.73002588,20266800.25105803,20100000.0,190369.73002588004,166800.25105803087,0.002432107925415039
4,RANDOM,22871263.58417787,22865438.37444357,22800000.0,71263.58417786658,65438.37444356829,0.0023212432861328125
4,RANDOM,20021437.628048584,20021437.628048584,19875000.0,146437.62804858387,146437.62804858387,0.0023212432861328125
4,RANDOM,20224565.571126588,20219021.46694812,20025000.0,199565.5711265877,194021.4669481181,0.002385854721069336
4,RANDOM,20403908.55547153,20370437.84692989,20250000.0,153908.55547152832,120437.84692988914,0.0029981136322021484
4,RANDOM,20973465.21751767,20927366.14694315,20850000.0,123465.21751767026,77366.14694314823,0.0022940635681152344
8,RANDOM,11417261.24177543,11415940.594699156,11325000.0,92261.24177543074,90940.59469915555,0.004122018814086914
8,RANDOM,10903735.32090861,10903735.32090861,10725000.0,178735.32090860978,178735.32090860978,0.004024028778076172
8,RANDOM,10918247.119032215,10863781.284671934,10875000.0,43247.119032215334,-11218.715328065678,0.003857135772705078
8,RANDOM,10161685.637243401,10143434.3461365,10050000.0,111685.6372433994,93434.34613650106,0.0037331581115722656
8,RANDOM,10731994.084623398,10706286.099396814,10725000.0,6994.084623398259,-18713.90060318634,0.003971099853515625
8,RANDOM,11258834.95854848,11221069.483438462,11175000.0,83834.95854847878,46069.48343846202,0.003420352935791016
8,RANDOM,10457754.199726012,10423394.09439878,10425000.0,32754.199726013467,-1605.9056012202054,0.003354310989379883
8,RANDOM,10365843.118095392,10356499.95441166,10125000.0,240843.1180953924,231499.95441166125,0.003257989883422852
8,RANDOM,10569390.730302978,10538469.710403346,10500000.0,69390.7303029783,38469.710403345525,0.048471927642822266
8,RANDOM,10478101.944417857,10451113.99107226,10350000.0,128101.9444178585,101113.99107225984,0.005248069763183594
8,RANDOM,11110522.145577392,11103946.22702874,11025000.0,85522.14557739347,78946.22702873871,0.004289627075195313
8,RANDOM,10812214.590847284,10804591.095084172,10725000.0,87214.5908472836,79591.09508417174,0.004631996154785156
8,RANDOM,10754206.395821253,10743857.187901847,10650000.0,104206.39582125098,93857.18790184706,0.005717992782592773
8,RANDOM,10381766.396186838,10371425.467938263,10350000.0,31766.39618683793,21425.46793826297,0.005099773406982422
8,RANDOM,10302827.627660615,10292393.459953757,10275000.0,27827.627660617232,17393.45995375514,0.005441188812255859
8,RANDOM,10357647.519193927,10309523.1194491,10275000.0,82647.51919392869,34523.119449099526,0.005047798156738281
8,RANDOM,10951323.71003464,10888962.17676506,10950000.0,1323.710034640506,-61037.82323493995,0.00477910041809082
8,RANDOM,10215536.15730868,10149888.673170822,10200000.0,15536.157308680935,-50111.32682917826,0.004250049591064453
8,RANDOM,10590009.412718302,10590009.412718302,10500000.0,90009.41271830164,90009.41271830164,0.003567934036254883
8,RANDOM,11189774.64614834,11156780.629253495,11100000.0,89774.64614834078,56780.62925349549,0.003268003463745117
8,RANDOM,11164155.382028604,11162846.74503688,11100000.0,64155.382028603926,62846.745036881424,0.004464864730834961
8,RANDOM,11108946.12620742,11083756.371576725,11025000.0,83946.1262074206,58756.37157672458,0.0036869049072265625
8,RANDOM,10699795.634382168,10672817.37028266,10650000.0,49795.63438216783,22817.370282661166,0.006127119064331055
8,RANDOM,10556337.660929168,10537009.844920287,10500000.0,56337.660929167636,37009.844920286916,0.005445718765258789
8,RANDOM,11262661.861835586,11211320.556762844,11250000.0,12661.861835584043,-38679.443237155676,0.004183769226074219
8,RANDOM,10950000.0,10888582.43553994,10950000.0,0.0,-61417.56446005963,0.006829023361206055
8,RANDOM,10319608.62490218,10319608.62490218,10275000.0,44608.624902179465,44608.624902179465,0.00654911994934082
8,RANDOM,11159747.886324016,11106361.454570526,11100000.0,59747.88632401638,6361.454570526257,0.005323171615600586
8,RANDOM,10514793.527031498,10511952.96976042,10425000.0,89793.52703149803,86952.9697604198,0.005228042602539063
8,RANDOM,11410714.54221554,11405642.370012674,11325000.0,85714.54221554099,80642.37001267634,0.006242990493774414
8,RANDOM,10809364.428094735,10809364.428094735,10725000.0,84364.42809473537,84364.42809473537,0.005589008331298828
8,RANDOM,11127368.505857697,11079908.766626598,11025000.0,102368.50585769491,54908.766626600176,0.0033609867095947266
8,RANDOM,10698210.790252747,10686116.112293227,10650000.0,48210.79025274888,36116.112293228514,0.003348827362060547
8,RANDOM,11004742.036195803,11003352.625215657,10875000.0,129742.03619580346,128352.62521565706,0.0047760009765625
8,RANDOM,11346764.532398768,11331299.11730908,11175000.0,171764.53239876774,156299.11730907855,0.004419803619384766
8,RANDOM,10792020.560790578,10772470.94382921,10725000.0,67020.5607905779,47470.943829210475,0.0030670166015625
8,RANDOM,10777757.680345377,10769481.81355387,10725000.0,52757.68034537509,44481.813553869724,0.004387140274047852
8,RANDOM,10558475.68763601,10553478.791851642,10500000.0,58475.68763601035,53478.79185164161,0.0034470558166503906
8,RANDOM,10545908.338764723,10507925.468091642,10425000.0,120908.33876472153,82925.46809164247,0.004221200942993164
8,RANDOM,11116693.268758724,11096333.963915003,11025000.0,91693.26875872537,71333.96391500346,0.004502058029174805
8,RANDOM,11288899.36086098,11248197.984682223,11250000.0,38899.36086097919,-1802.015317775309,0.003771066665649414
8,RANDOM,10552428.20215936,10544833.107439678,10500000.0,52428.20215936005,44833.10743967816,0.003039121627807617
8,RANDOM,10986432.313490678,10940021.979297753,10950000.0,36432.313490677625,-9978.020702246577,0.003711223602294922
8,RANDOM,10785945.807733502,10784704.059182825,10575000.0,210945.80773350227,209704.0591828227,0.004856109619140625
8,RANDOM,10339511.057919107,10326478.01563128,10275000.0,64511.05791910737,51478.015631278984,0.0043032169342041016
8,RANDOM,10754915.978645928,10749949.87890762,10725000.0,29915.978645928204,24949.878907619044,0.0033419132232666016
8,RANDOM,10532721.080411358,10532721.080411358,10425000.0,107721.08041135779,107721.08041135779,0.0036878585815429688
8,RANDOM,10820986.838732716,10721879.555911977,10800000.0,20986.838732715696,-78120.44408802503,0.0036640167236328134
8,RANDOM,11747145.705852704,11710584.24292502,11700000.0,47145.70585270412,10584.242925019937,0.004983663558959961
8,RANDOM,10579650.566861317,10562997.148376282,10500000.0,79650.56686131656,62997.14837628231,0.003719806671142578
8,RANDOM,11696379.64853518,11673464.418666,11550000.0,146379.64853518087,123464.41866600141,0.003364801406860352
8,RANDOM,10653711.00923547,10622553.373153577,10575000.0,78711.00923546962,47553.37315357663,0.003175020217895508
