size,planner,makespan,time
4,RANDOM,20199637.441544667,0.00267791748046875
4,RANDOM,20111484.756212506,0.002675056457519531
4,RANDOM,20210216.056434885,0.003161191940307617
4,RANDOM,20802517.627744075,0.0025708675384521484
4,RANDOM,20294282.04514009,0.0026891231536865234
4,RANDOM,20475431.847845227,0.002704143524169922
4,RANDOM,22382252.29950942,0.002723932266235352
4,RANDOM,21346976.544846814,0.0028510093688964844
4,RANDOM,20068839.399823785,0.002863883972167969
4,RANDOM,21776267.924204085,0.0028929710388183594
4,RANDOM,20491134.362552308,0.002886295318603516
4,RANDOM,20366808.49290758,0.002746105194091797
4,RANDOM,19942546.18900337,0.002928018569946289
4,RANDOM,22439644.09498289,0.002738237380981445
4,RANDOM,21159346.68163629,0.002916097640991211
4,RANDOM,19905592.481413305,0.002879142761230469
4,RANDOM,21025335.819002345,0.002725839614868164
4,RANDOM,19875145.283903517,0.0027921199798583984
4,RANDOM,20132120.7822815,0.0027539730072021484
4,RANDOM,19688542.990019307,0.002875804901123047
4,RANDOM,20414122.726449613,0.022169113159179688
4,RANDOM,20187749.816598237,0.003272294998168945
4,RANDOM,20687992.30314771,0.002791166305541992
4,RANDOM,19614939.233987324,0.002768039703369141
4,RANDOM,20369853.0390037,0.003155946731567383
4,RANDOM,21168827.78140949,0.0027010440826416016
4,RANDOM,19881218.177431583,0.0026798248291015625
4,RANDOM,20023393.66745657,0.0029370784759521484
4,RANDOM,20729302.99933888,0.002974987030029297
4,RANDOM,19774217.98267697,0.002930879592895508
4,RANDOM,20592282.44288837,0.002830028533935547
4,RANDOM,20558815.31872464,0.002537250518798828
4,RANDOM,21784934.940989107,0.003339052200317383
4,RANDOM,20450224.082050186,0.003166913986206055
4,RANDOM,19831467.128127515,0.003323793411254883
4,RANDOM,20783621.83725735,0.002707958221435547
4,RANDOM,20222446.858039893,0.002810955047607422
4,RANDOM,19941314.21400177,0.0026590824127197266
4,RANDOM,19991191.5740026,0.002875089645385742
4,RANDOM,19568840.243712507,0.002767801284790039
4,RANDOM,20466865.96571551,0.003221988677978516
4,RANDOM,20870502.142304927,0.0030410289764404297
4,RANDOM,19796510.971983366,0.0028820037841796875
4,RANDOM,19744464.5353519,0.0028820037841796875
4,RANDOM,19881277.889402464,0.003056049346923828
4,RANDOM,20777607.11384613,0.002663850784301758
4,RANDOM,19831384.87705015,0.002684354782104492
4,RANDOM,19910378.24871433,0.002666950225830078
4,RANDOM,21347313.67419412,0.002905130386352539
4,RANDOM,20054581.918722767,0.002838134765625
4,RANDOM,20016572.474837493,0.0026798248291015625
4,RANDOM,20324969.28473973,0.002756834030151367
4,RANDOM,22254830.17961696,0.003004312515258789
4,RANDOM,20313108.49242277,0.0028231143951416016
4,RANDOM,20816658.201873217,0.002777099609375
4,RANDOM,20145206.95711273,0.002821207046508789
4,RANDOM,21352555.71739409,0.0031261444091796875
4,RANDOM,19887047.99517868,0.002551078796386719
4,RANDOM,21081392.31765257,0.0028259754180908203
4,RANDOM,21446234.045150325,0.002521038055419922
4,RANDOM,19674013.522949472,0.002858877182006836
4,RANDOM,21370017.77901029,0.002723932266235352
4,RANDOM,20103212.576315813,0.002666234970092773
4,RANDOM,20514134.31217396,0.002502918243408203
4,RANDOM,20693693.731574666,0.024570703506469727
4,RANDOM,19777658.247692235,0.003159999847412109
4,RANDOM,20200713.25288261,0.0026841163635253906
4,RANDOM,20950024.031848986,0.0027997493743896484
4,RANDOM,19881981.55842769,0.002840995788574219
4,RANDOM,20298130.24861256,0.0028269290924072266
4,RANDOM,20422104.649182864,0.0028390884399414067
4,RANDOM,20599075.13418011,0.002821207046508789
4,RANDOM,20900268.770376854,0.003055095672607422
4,RANDOM,19639780.62817116,0.002843141555786133
