size,planner,makespan,time
4,RANDOM,247466.01144418362,4.816055297851562e-05
4,RANDOM,153902.32168937539,5.817413330078125e-05
4,RANDOM,243970.79568096672,3.910064697265625e-05
4,RANDOM,84090.99690776887,3.4809112548828125e-05
4,RANDOM,164736.13147660677,3.62396240234375e-05
4,RANDOM,154191.78990931847,6.604194641113281e-05
4,RANDOM,226653.02215693245,4.291534423828125e-05
4,RANDOM,170763.3354096148,4.100799560546875e-05
4,RANDOM,170792.49649841676,3.695487976074219e-05
4,RANDOM,83474.39844391054,7.605552673339844e-05
4,RANDOM,166356.34730618985,3.719329833984375e-05
4,RANDOM,170763.3354096148,3.62396240234375e-05
4,RANDOM,170792.49649841676,3.266334533691406e-05
4,RANDOM,230894.4659438873,4.100799560546875e-05
4,RANDOM,156776.15746833978,4.220008850097656e-05
4,RANDOM,166356.34730618985,3.719329833984375e-05
4,RANDOM,170792.49649841676,3.600120544433594e-05
4,RANDOM,86711.5377761759,3.886222839355469e-05
4,RANDOM,157383.8905697337,3.886222839355469e-05
4,RANDOM,226896.26315027184,3.600120544433594e-05
4,RANDOM,154191.78990931847,3.3855438232421875e-05
4,RANDOM,163223.77781501188,3.886222839355469e-05
4,RANDOM,162354.5641229283,6.4849853515625e-05
4,RANDOM,234998.33894451056,4.1961669921875e-05
4,RANDOM,164736.13147660677,3.504753112792969e-05
4,RANDOM,156776.15746833978,3.504753112792969e-05
4,RANDOM,153902.32168937539,3.504753112792969e-05
4,RANDOM,154815.00652832538,3.695487976074219e-05
4,RANDOM,173708.58821306287,3.600120544433594e-05
4,RANDOM,157383.8905697337,3.409385681152344e-05
4,RANDOM,162354.5641229283,3.409385681152344e-05
4,RANDOM,160906.16456925427,3.62396240234375e-05
4,RANDOM,146383.9809254935,3.790855407714844e-05
4,RANDOM,170763.3354096148,3.62396240234375e-05
4,RANDOM,147109.41426063242,3.3855438232421875e-05
4,RANDOM,164736.13147660677,3.409385681152344e-05
4,RANDOM,219510.98817963872,3.194808959960937e-05
4,RANDOM,215272.5607783485,6.389617919921875e-05
4,RANDOM,170763.3354096148,3.695487976074219e-05
4,RANDOM,174432.43816678654,3.194808959960937e-05
4,RANDOM,145188.12840516743,3.790855407714844e-05
4,RANDOM,173708.58821306287,3.2901763916015625e-05
4,RANDOM,174432.43816678654,4.816055297851562e-05
4,RANDOM,222492.38434784664,3.576278686523437e-05
4,RANDOM,161886.78926071,4.38690185546875e-05
4,RANDOM,86711.5377761759,3.504753112792969e-05
