size,planner,makespan,time
4,RANDOM,116685.14706350572,3.719329833984375e-05
4,RANDOM,175342.65902587946,3.0994415283203125e-05
4,RANDOM,55461.159589101015,2.6702880859375e-05
4,RANDOM,54960.39535599909,2.7894973754882812e-05
4,RANDOM,59090.79608833304,3.0040740966796875e-05
4,RANDOM,57930.11863282785,2.9087066650390625e-05
4,RANDOM,85762.73997878183,5.6743621826171875e-05
4,RANDOM,15023.445392355055,3.123283386230469e-05
4,RANDOM,24658.814966318267,2.8133392333984368e-05
4,RANDOM,59090.79608833304,3.0994415283203125e-05
4,RANDOM,64332.58605809157,2.8133392333984368e-05
4,RANDOM,111010.07296778787,3.790855407714844e-05
4,RANDOM,182080.89410879835,3.0279159545898438e-05
4,RANDOM,55461.159589101015,2.9802322387695312e-05
4,RANDOM,59090.79608833304,2.9802322387695312e-05
4,RANDOM,30301.580389680814,3.0279159545898438e-05
4,RANDOM,64332.58605809157,2.9087066650390625e-05
4,RANDOM,58657.511962373705,3.0994415283203125e-05
4,RANDOM,52352.56100541416,2.8848648071289062e-05
4,RANDOM,55461.159589101015,2.598762512207031e-05
4,RANDOM,59090.79608833304,3.0994415283203125e-05
4,RANDOM,30301.580389680814,2.8848648071289062e-05
4,RANDOM,58134.201735634786,2.694129943847656e-05
4,RANDOM,64332.58605809157,2.9087066650390625e-05
4,RANDOM,27832.62134595397,2.8848648071289062e-05
4,RANDOM,175775.94315183882,2.7894973754882812e-05
4,RANDOM,122990.09802046527,2.7179718017578125e-05
4,RANDOM,175342.65902587946,2.694129943847656e-05
4,RANDOM,175342.65902587946,2.6702880859375e-05
4,RANDOM,58657.511962373705,2.694129943847656e-05
4,RANDOM,58657.511962373705,3.0040740966796875e-05
4,RANDOM,52352.56100541416,2.9087066650390625e-05
4,RANDOM,24658.814966318267,3.194808959960937e-05
4,RANDOM,85762.73997878183,2.9087066650390625e-05
4,RANDOM,122990.09802046527,3.0040740966796875e-05
4,RANDOM,82588.93359914613,3.0040740966796875e-05
4,RANDOM,59090.79608833304,2.7894973754882812e-05
4,RANDOM,15023.445392355055,3.218650817871094e-05
4,RANDOM,59090.79608833304,3.194808959960937e-05
4,RANDOM,64332.58605809157,4.506111145019531e-05
4,RANDOM,52352.56100541416,3.123283386230469e-05
4,RANDOM,59090.79608833304,3.0040740966796875e-05
4,RANDOM,52352.56100541416,2.8133392333984368e-05
4,RANDOM,123423.38214642461,2.7179718017578125e-05
4,RANDOM,175775.94315183882,2.7179718017578125e-05
4,RANDOM,58657.511962373705,2.8133392333984368e-05
4,RANDOM,175342.65902587946,3.2901763916015625e-05
4,RANDOM,116685.14706350572,2.7894973754882812e-05
4,RANDOM,52352.56100541416,3.0040740966796875e-05
4,RANDOM,57930.11863282785,2.7894973754882812e-05
4,RANDOM,123423.38214642461,2.7894973754882812e-05
4,RANDOM,20705.161963760038,2.9087066650390625e-05
4,RANDOM,111010.07296778787,2.694129943847656e-05
4,RANDOM,27832.62134595397,2.598762512207031e-05
4,RANDOM,59090.79608833304,2.7894973754882812e-05
4,RANDOM,24658.814966318267,2.7179718017578125e-05
4,RANDOM,30301.580389680814,2.7894973754882812e-05
4,RANDOM,27628.538243147043,2.694129943847656e-05
4,RANDOM,57930.11863282785,2.7179718017578125e-05
4,RANDOM,64332.58605809157,2.8848648071289062e-05
4,RANDOM,117748.30805070676,3.123283386230469e-05
4,RANDOM,122990.09802046527,2.8848648071289062e-05
4,RANDOM,52352.56100541416,2.7894973754882812e-05
4,RANDOM,80119.97455541928,2.7179718017578125e-05
4,RANDOM,27832.62134595397,2.6702880859375e-05
4,RANDOM,58657.511962373705,3.0040740966796875e-05
4,RANDOM,64332.58605809157,2.9325485229492188e-05
4,RANDOM,58657.511962373705,2.9087066650390625e-05
4,RANDOM,58657.511962373705,2.6702880859375e-05
4,RANDOM,123423.38214642461,4.076957702636719e-05
4,RANDOM,82588.93359914613,2.9325485229492188e-05
4,RANDOM,9717.15964013397,2.694129943847656e-05
4,RANDOM,175342.65902587946,2.694129943847656e-05
4,RANDOM,116685.14706350572,2.598762512207031e-05
4,RANDOM,52287.353209465306,4.291534423828125e-05
4,RANDOM,122990.09802046527,6.318092346191406e-05
4,RANDOM,82793.01670195305,2.694129943847656e-05
4,RANDOM,58657.511962373705,2.6226043701171875e-05
4,RANDOM,110421.5549451001,2.694129943847656e-05
4,RANDOM,52352.56100541416,2.6226043701171875e-05
