size,planner,makespan,reactive,expected,mpn_snt,rect_snt,time
4,RANDOM,159007.46984890616,151622.25403499097,150000.0,9007.469848906156,1622.2540349909395,3.910064697265625e-05
4,RANDOM,150428.51320976252,150428.51320976252,150000.0,428.5132097625174,428.5132097625174,4.935264587402344e-05
4,RANDOM,151501.7814324192,148720.05467074295,150000.0,1501.7814324192004,-1279.9453292570545,4.816055297851562e-05
4,RANDOM,150000.0,144936.7432452328,150000.0,0.0,-5063.256754767208,4.911422729492188e-05
4,RANDOM,225000.0,214441.86224420206,225000.0,0.0,-10558.137755797945,5.006790161132813e-05
4,RANDOM,227016.49524280452,227016.49524280452,225000.0,2016.4952428045801,2016.4952428045801,4.601478576660156e-05
4,RANDOM,155229.08521350345,155229.08521350345,150000.0,5229.085213503451,5229.085213503451,4.792213439941406e-05
4,RANDOM,153410.67536989704,153410.67536989704,150000.0,3410.6753698970424,3410.6753698970424,5.006790161132813e-05
4,RANDOM,150000.0,142599.6644948768,150000.0,0.0,-7400.335505123192,4.57763671875e-05
4,RANDOM,150056.8057586908,145554.10581674345,150000.0,56.805758690810755,-4445.894183256547,4.625320434570313e-05
4,RANDOM,150000.0,144011.28625374814,150000.0,0.0,-5988.7137462518285,3.981590270996094e-05
4,RANDOM,150000.0,133736.27359258858,150000.0,0.0,-16263.726407411421,4.124641418457031e-05
4,RANDOM,150000.0,149080.09551889368,150000.0,0.0,-919.9044811063212,4.00543212890625e-05
4,RANDOM,225000.0,209068.70919562454,225000.0,0.0,-15931.290804375427,4.1961669921875e-05
4,RANDOM,161528.8125141089,161528.8125141089,150000.0,11528.812514108897,11528.812514108897,4.124641418457031e-05
4,RANDOM,153337.7413812367,153337.7413812367,150000.0,3337.7413812367013,3337.7413812367013,3.981590270996094e-05
4,RANDOM,75000.0,72573.00455634294,75000.0,0.0,-2426.995443657055,3.981590270996094e-05
4,RANDOM,162155.4398401987,162155.4398401987,150000.0,12155.439840198698,12155.439840198698,4.100799560546875e-05
4,RANDOM,152048.13686700648,152048.13686700648,150000.0,2048.136867006484,2048.136867006484,4.506111145019531e-05
4,RANDOM,150000.0,141970.67476148315,150000.0,0.0,-8029.325238516844,4.291534423828125e-05
4,RANDOM,154853.09411066055,154853.09411066055,150000.0,4853.094110660546,4853.094110660546,4.1961669921875e-05
4,RANDOM,159104.44761792882,152162.90841362148,150000.0,9104.447617928789,2162.9084136214806,3.981590270996094e-05
4,RANDOM,226583.77713526296,226583.77713526296,225000.0,1583.7771352629645,1583.7771352629645,3.814697265625e-05
4,RANDOM,236252.9686983625,232179.1759802489,225000.0,11252.9686983625,7179.175980248924,3.814697265625e-05
4,RANDOM,156562.47032309888,156562.47032309888,150000.0,6562.470323098882,6562.470323098882,3.814697265625e-05
4,RANDOM,79383.1416828604,79383.1416828604,75000.0,4383.141682860398,4383.141682860398,3.814697265625e-05
4,RANDOM,77977.27204994968,77977.27204994968,75000.0,2977.272049949679,2977.272049949679,3.695487976074219e-05
4,RANDOM,166676.93134129696,166676.93134129696,150000.0,16676.931341296964,16676.931341296964,3.814697265625e-05
4,RANDOM,300000.0,294543.2866284691,300000.0,0.0,-5456.713371530932,4.887580871582031e-05
4,RANDOM,160414.5348610718,160414.5348610718,150000.0,10414.534861071792,10414.534861071792,4.887580871582031e-05
4,RANDOM,233516.00224764552,233516.00224764552,225000.0,8516.00224764549,8516.00224764549,4.792213439941406e-05
4,RANDOM,156883.65198865038,156883.65198865038,150000.0,6883.651988650381,6883.651988650381,7.295608520507812e-05
4,RANDOM,150000.0,148291.4780944209,150000.0,0.0,-1708.5219055791094,4.887580871582031e-05
4,RANDOM,152601.77147147508,152601.77147147508,150000.0,2601.7714714750764,2601.7714714750764,6.914138793945312e-05
4,RANDOM,154994.49560745715,154994.49560745715,150000.0,4994.495607457153,4994.495607457153,4.792213439941406e-05
4,RANDOM,150000.0,140004.13964264034,150000.0,0.0,-9995.860357359665,5.6743621826171875e-05
4,RANDOM,150000.0,146790.61445367098,150000.0,0.0,-3209.3855463290242,5.412101745605469e-05
4,RANDOM,150000.0,139448.61497110775,150000.0,0.0,-10551.385028892257,4.982948303222656e-05
4,RANDOM,159374.68251671144,156451.36399992194,150000.0,9374.682516711444,6451.363999921974,4.935264587402344e-05
4,RANDOM,158903.79893232402,157833.2685101798,150000.0,8903.798932323989,7833.268510179799,7.987022399902344e-05
4,RANDOM,159938.67525502655,159938.67525502655,150000.0,9938.675255026552,9938.675255026552,5.197525024414063e-05
4,RANDOM,225720.6958989111,220441.82858262066,225000.0,720.6958989111008,-4558.171417379343,4.816055297851562e-05
4,RANDOM,154188.0381122309,154188.0381122309,150000.0,4188.03811223089,4188.03811223089,5.006790161132813e-05
4,RANDOM,243769.77399212148,243769.77399212148,225000.0,18769.77399212148,18769.77399212148,5.197525024414063e-05
4,RANDOM,155743.33172341407,155743.33172341407,150000.0,5743.3317234140695,5743.3317234140695,4.816055297851562e-05
4,RANDOM,153886.00369222954,153886.00369222954,150000.0,3886.00369222957,3886.00369222957,6.389617919921875e-05
4,RANDOM,158376.26599035473,152660.82968474046,150000.0,8376.265990354732,2660.8296847404567,4.982948303222656e-05
4,RANDOM,150820.1475363787,150820.1475363787,150000.0,820.1475363787032,820.1475363787032,4.887580871582031e-05
4,RANDOM,237926.44453382606,237926.44453382606,225000.0,12926.444533826028,12926.444533826028,4.720687866210938e-05
4,RANDOM,150000.0,137735.95523986718,150000.0,0.0,-12264.04476013282,4.792213439941406e-05
4,RANDOM,234818.8035493297,234818.8035493297,225000.0,9818.80354932975,9818.80354932975,4.816055297851562e-05
4,RANDOM,150000.0,148619.6967341256,150000.0,0.0,-1380.3032658743905,5.006790161132813e-05
4,RANDOM,83617.54385609021,83617.54385609021,75000.0,8617.543856090211,8617.543856090211,4.792213439941406e-05
4,RANDOM,156075.9342400859,156075.9342400859,150000.0,6075.934240085888,6075.934240085888,4.482269287109375e-05
4,RANDOM,229720.41569860317,219506.46672116272,225000.0,4720.415698603145,-5493.533278837276,3.790855407714844e-05
4,RANDOM,82661.71752602702,82661.71752602702,75000.0,7661.717526027017,7661.717526027017,4.410743713378906e-05
4,RANDOM,96139.88207071747,96139.88207071747,75000.0,21139.88207071749,21139.88207071749,3.790855407714844e-05
4,RANDOM,150000.0,141693.32285913394,150000.0,0.0,-8306.677140866057,4.291534423828125e-05
4,RANDOM,161447.53186967154,161447.53186967154,150000.0,11447.53186967154,11447.53186967154,3.671646118164063e-05
4,RANDOM,234310.5793701284,234310.5793701284,225000.0,9310.579370128371,9310.579370128371,3.886222839355469e-05
4,RANDOM,150433.47769237758,143122.44031061337,150000.0,433.4776923775789,-6877.55968938663,4.506111145019531e-05
4,RANDOM,150000.0,147774.40298201435,150000.0,0.0,-2225.5970179856517,3.695487976074219e-05
4,RANDOM,157836.72585473428,155949.67206766852,150000.0,7836.725854734279,5949.672067668522,3.814697265625e-05
4,RANDOM,303909.42710489105,303909.42710489105,300000.0,3909.427104891045,3909.427104891045,3.790855407714844e-05
4,RANDOM,150000.0,142664.68298261362,150000.0,0.0,-7335.3170173863755,3.886222839355469e-05
4,RANDOM,151956.46658598963,151956.46658598963,150000.0,1956.466585989634,1956.466585989634,3.886222839355469e-05
4,RANDOM,159623.6203304372,159623.6203304372,150000.0,9623.620330437205,9623.620330437205,3.910064697265625e-05
4,RANDOM,161296.19134999398,158107.2302606836,150000.0,11296.191349993984,8107.230260683602,3.790855407714844e-05
4,RANDOM,155816.71063136318,155816.71063136318,150000.0,5816.710631363181,5816.710631363181,3.790855407714844e-05
4,RANDOM,151730.09517953507,151699.40643947036,150000.0,1730.0951795350409,1699.40643947036,3.695487976074219e-05
4,RANDOM,150000.0,149987.8094016804,150000.0,0.0,-12.19059831960476,3.814697265625e-05
4,RANDOM,161820.1508996081,161820.1508996081,150000.0,11820.150899608096,11820.150899608096,3.767013549804688e-05
4,RANDOM,85130.51711035111,85130.51711035111,75000.0,10130.51711035111,10130.51711035111,3.790855407714844e-05
4,RANDOM,150000.0,145524.44139597804,150000.0,0.0,-4475.558604021964,3.886222839355469e-05
4,RANDOM,150705.21785781663,149520.03239312954,150000.0,705.2178578166639,-479.96760687042837,3.886222839355469e-05
4,RANDOM,232455.7339497472,232455.7339497472,225000.0,7455.733949747169,7455.733949747169,3.886222839355469e-05
4,RANDOM,235100.06708322297,235100.06708322297,225000.0,10100.067083222966,10100.067083222966,3.814697265625e-05
4,RANDOM,150000.0,147698.77852632175,150000.0,0.0,-2301.221473678248,3.910064697265625e-05
4,RANDOM,156275.2350608732,156275.2350608732,150000.0,6275.2350608732095,6275.2350608732095,3.719329833984375e-05
4,RANDOM,152178.35890103594,152178.35890103594,150000.0,2178.358901035943,2178.358901035943,3.981590270996094e-05
4,RANDOM,150345.23756873904,150084.67109074775,150000.0,345.23756873904495,84.67109074775362,3.719329833984375e-05
4,RANDOM,159259.32470426837,159259.32470426837,150000.0,9259.324704268365,9259.324704268365,3.600120544433594e-05
4,RANDOM,150000.0,149792.0040487187,150000.0,0.0,-207.9959512813075,3.886222839355469e-05
4,RANDOM,151808.43487130664,151808.43487130664,150000.0,1808.4348713066431,1808.4348713066431,3.695487976074219e-05
4,RANDOM,155254.52690364062,155254.52690364062,150000.0,5254.5269036406235,5254.5269036406235,3.790855407714844e-05
4,RANDOM,75000.0,72916.06883029336,75000.0,0.0,-2083.931169706644,3.671646118164063e-05
4,RANDOM,155411.0295456589,155411.0295456589,150000.0,5411.029545658908,5411.029545658908,4.506111145019531e-05
4,RANDOM,150120.0161216429,147495.29823033896,150000.0,120.0161216428969,-2504.701769661042,3.886222839355469e-05
4,RANDOM,154292.27153319452,154292.27153319452,150000.0,4292.271533194522,4292.271533194522,3.910064697265625e-05
4,RANDOM,160118.4980633322,160118.4980633322,150000.0,10118.498063332196,10118.498063332196,4.410743713378906e-05
4,RANDOM,150000.0,142815.05586936598,150000.0,0.0,-7184.944130633987,3.790855407714844e-05
4,RANDOM,80902.20738824332,80902.20738824332,75000.0,5902.207388243332,5902.207388243332,4.1961669921875e-05
4,RANDOM,158531.28453431846,154665.3029410537,150000.0,8531.28453431843,4665.302941053698,4.00543212890625e-05
4,RANDOM,225000.0,216390.04419938504,225000.0,0.0,-8609.95580061496,3.910064697265625e-05
4,RANDOM,81628.42032196067,81628.42032196067,75000.0,6628.4203219606725,6628.4203219606725,3.695487976074219e-05
4,RANDOM,225000.0,221835.70449265876,225000.0,0.0,-3164.2955073412736,4.57763671875e-05
4,RANDOM,155686.67953748038,153596.09881758498,150000.0,5686.679537480377,3596.098817584978,3.790855407714844e-05
4,RANDOM,159060.62177526992,159060.62177526992,150000.0,9060.621775269916,9060.621775269916,3.790855407714844e-05
4,RANDOM,158111.94034077233,158111.94034077233,150000.0,8111.940340772329,8111.940340772329,3.695487976074219e-05
4,RANDOM,151872.37676978653,150594.3363555286,150000.0,1872.376769786526,594.3363555285905,3.790855407714844e-05
8,RANDOM,300000.0,288159.7666651288,300000.0,0.0,-11840.233334871242,5.078315734863281e-05
8,RANDOM,300000.0,288933.1717517869,300000.0,0.0,-11066.828248213104,5.483627319335938e-05
8,RANDOM,227575.76421213843,227575.76421213843,225000.0,2575.764212138427,2575.764212138427,5.197525024414063e-05
8,RANDOM,375000.0,370154.9411727343,375000.0,0.0,-4845.05882726569,0.0001049041748046875
8,RANDOM,225000.0,223698.881056428,225000.0,0.0,-1301.1189435719862,5.102157592773438e-05
8,RANDOM,225000.0,219642.16454454718,225000.0,0.0,-5357.835455452791,5.412101745605469e-05
8,RANDOM,225000.0,214778.1141742834,225000.0,0.0,-10221.885825716601,5.102157592773438e-05
8,RANDOM,306080.79717358155,305234.2225804719,300000.0,6080.797173581552,5234.222580471891,5.125999450683594e-05
8,RANDOM,162553.06698255404,162553.06698255404,150000.0,12553.06698255404,12553.06698255404,5.197525024414063e-05
8,RANDOM,300000.0,282106.75021485385,300000.0,0.0,-17893.249785146152,5.125999450683594e-05
8,RANDOM,232985.49264037274,231476.32068492414,225000.0,7985.492640372744,6476.320684924169,5.292892456054688e-05
8,RANDOM,225000.0,224533.69040766393,225000.0,0.0,-466.309592336067,5.102157592773438e-05
8,RANDOM,229850.0020741903,228254.42150910664,225000.0,4850.002074190271,3254.4215091066435,5.292892456054688e-05
8,RANDOM,230106.13239139327,230106.13239139327,225000.0,5106.132391393301,5106.132391393301,5.197525024414063e-05
8,RANDOM,225042.4156317454,218475.0820991016,225000.0,42.415631745388964,-6524.917900898407,5.483627319335938e-05
8,RANDOM,304293.1715016132,304293.1715016132,300000.0,4293.171501613222,4293.171501613222,5.102157592773438e-05
8,RANDOM,227094.6545363495,225857.84568606585,225000.0,2094.6545363494947,857.845686065819,5.197525024414063e-05
8,RANDOM,237556.9192685675,235992.34581936785,225000.0,12556.919268567524,10992.34581936785,5.197525024414063e-05
8,RANDOM,314531.82614944427,314531.82614944427,300000.0,14531.826149444267,14531.826149444267,5.102157592773438e-05
8,RANDOM,236156.2093020578,236156.2093020578,225000.0,11156.209302057805,11156.209302057805,5.698204040527344e-05
8,RANDOM,317631.5677981093,302824.6324282348,300000.0,17631.567798109318,2824.632428234734,5.221366882324219e-05
8,RANDOM,230954.9188800455,216860.88262806926,225000.0,5954.9188800455,-8139.11737193077,4.887580871582031e-05
8,RANDOM,456558.96661073976,450020.7549472183,450000.0,6558.966610739823,20.75494721828727,5.292892456054688e-05
8,RANDOM,320645.63066962716,320645.63066962716,300000.0,20645.630669627226,20645.630669627226,4.982948303222656e-05
8,RANDOM,225000.0,216844.26994999847,225000.0,0.0,-8155.730050001526,5.602836608886719e-05
8,RANDOM,306214.0683436512,306214.0683436512,300000.0,6214.06834365119,6214.06834365119,5.91278076171875e-05
8,RANDOM,315814.6707952692,304233.8521851677,300000.0,15814.670795269194,4233.8521851677215,5.602836608886719e-05
